No,code,assay_code,assay type,species,ind,trt,spore_type,spore type,leaf,rep,tubes,notes,total leaf area,lesion area,chlamydo counts,,,date counted chlamydo,sporangia counts,,,,date counted sporangia
18,L_ACMA2S_6T,L,leaf disc,ACMA,2,T,S,sporangia,6,6,.2 ml,,,,,,,,8,9,NA,NA,0
19,L_ACMA2S_1W,L,leaf disc,ACMA,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
20,L_ACMA2S_2W,L,leaf disc,ACMA,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
21,L_ACMA2S_3W,L,leaf disc,ACMA,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
22,L_ACMA2S_4W,L,leaf disc,ACMA,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
23,L_ACMA2S_5W,L,leaf disc,ACMA,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
24,L_ACMA2S_6W,L,leaf disc,ACMA,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
25,L_ACMA3S_1T,L,leaf disc,ACMA,3,T,S,sporangia,1,1,.2 ml,,,,,,,,138,90,142,NA,0
26,L_ACMA3S_2T,L,leaf disc,ACMA,3,T,S,sporangia,2,2,.2 ml,,,,,,,,244,316,194,38,0
27,L_ACMA3S_3T,L,leaf disc,ACMA,3,T,S,sporangia,3,3,.2 ml,,,,,,,,56,74,88,76,0
28,L_ACMA3S_4T,L,leaf disc,ACMA,3,T,S,sporangia,4,4,.2 ml,,,,,,,,128,126,94,94,0
29,L_ACMA3S_5T,L,leaf disc,ACMA,3,T,S,sporangia,5,5,.2 ml,,,,,,,,78,102,90,98,0
30,L_ACMA3S_6T,L,leaf disc,ACMA,3,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
31,L_ACMA3S_1W,L,leaf disc,ACMA,3,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
32,L_ACMA3S_2W,L,leaf disc,ACMA,3,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
33,L_ACMA3S_3W,L,leaf disc,ACMA,3,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
34,L_ACMA3S_4W,L,leaf disc,ACMA,3,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
35,L_ACMA3S_5W,L,leaf disc,ACMA,3,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
36,L_ACMA3S_6W,L,leaf disc,ACMA,3,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
37,L_ARME1S_1T,L,leaf disc,ARME,1,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
38,L_ARME1S_2T,L,leaf disc,ARME,1,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
39,L_ARME1S_3T,L,leaf disc,ARME,1,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
40,L_ARME1S_4T,L,leaf disc,ARME,1,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
41,L_ARME1S_5T,L,leaf disc,ARME,1,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
42,L_ARME1S_6T,L,leaf disc,ARME,1,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
43,L_ARME1S_1W,L,leaf disc,ARME,1,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
44,L_ARME1S_2W,L,leaf disc,ARME,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
45,L_ARME1S_3W,L,leaf disc,ARME,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
46,L_ARME1S_4W,L,leaf disc,ARME,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
47,L_ARME1S_5W,L,leaf disc,ARME,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
48,L_ARME1S_6W,L,leaf disc,ARME,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
49,L_ARME2S_1T,L,leaf disc,ARME,2,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
50,L_ARME2S_2T,L,leaf disc,ARME,2,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
51,L_ARME2S_3T,L,leaf disc,ARME,2,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
52,L_ARME2S_4T,L,leaf disc,ARME,2,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
53,L_ARME2S_5T,L,leaf disc,ARME,2,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
54,L_ARME2S_6T,L,leaf disc,ARME,2,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
55,L_ARME2S_1W,L,leaf disc,ARME,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
56,L_ARME2S_2W,L,leaf disc,ARME,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
57,L_ARME2S_3W,L,leaf disc,ARME,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
58,L_ARME2S_4W,L,leaf disc,ARME,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
59,L_ARME2S_5W,L,leaf disc,ARME,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
60,L_ARME2S_6W,L,leaf disc,ARME,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
61,L_ARME3S_1T,L,leaf disc,ARME,3,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
62,L_ARME3S_2T,L,leaf disc,ARME,3,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
63,L_ARME3S_3T,L,leaf disc,ARME,3,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
64,L_ARME3S_4T,L,leaf disc,ARME,3,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
65,L_ARME3S_5T,L,leaf disc,ARME,3,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
66,L_ARME3S_6T,L,leaf disc,ARME,3,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
67,L_ARME3S_1W,L,leaf disc,ARME,3,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
68,L_ARME3S_2W,L,leaf disc,ARME,3,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
69,L_ARME3S_3W,L,leaf disc,ARME,3,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
70,L_ARME3S_4W,L,leaf disc,ARME,3,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
71,L_ARME3S_5W,L,leaf disc,ARME,3,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
72,L_ARME3S_6W,L,leaf disc,ARME,3,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
73,L_CEOL1S_1T,L,leaf disc,CEOL,1,T,S,sporangia,1,1,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
74,L_CEOL1S_2T,L,leaf disc,CEOL,1,T,S,sporangia,2,2,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
75,L_CEOL1S_3T,L,leaf disc,CEOL,1,T,S,sporangia,3,3,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
76,L_CEOL1S_4T,L,leaf disc,CEOL,1,T,S,sporangia,4,4,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
77,L_CEOL1S_5T,L,leaf disc,CEOL,1,T,S,sporangia,5,5,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
78,L_CEOL1S_6T,L,leaf disc,CEOL,1,T,S,sporangia,6,6,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
79,L_CEOL1S_1W,L,leaf disc,CEOL,1,W,S,sporangia,7,1,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
80,L_CEOL1S_2W,L,leaf disc,CEOL,1,W,S,sporangia,8,2,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
81,L_CEOL1S_3W,L,leaf disc,CEOL,1,W,S,sporangia,9,3,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
82,L_CEOL1S_4W,L,leaf disc,CEOL,1,W,S,sporangia,10,4,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
83,L_CEOL1S_5W,L,leaf disc,CEOL,1,W,S,sporangia,11,5,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
84,L_CEOL1S_6W,L,leaf disc,CEOL,1,W,S,sporangia,12,6,.2 ml,2 discs cut per leaf. Pairs between S and C.Only 1 individual,,,,,,,,,,,0
85,L_HEAR1S_1T,L,leaf disc,HEAR,1,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
86,L_HEAR1S_2T,L,leaf disc,HEAR,1,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
87,L_HEAR1S_3T,L,leaf disc,HEAR,1,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
88,L_HEAR1S_4T,L,leaf disc,HEAR,1,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
89,L_HEAR1S_5T,L,leaf disc,HEAR,1,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
90,L_HEAR1S_6T,L,leaf disc,HEAR,1,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
91,L_HEAR1S_1W,L,leaf disc,HEAR,1,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
92,L_HEAR1S_2W,L,leaf disc,HEAR,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
93,L_HEAR1S_3W,L,leaf disc,HEAR,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
94,L_HEAR1S_4W,L,leaf disc,HEAR,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
95,L_HEAR1S_5W,L,leaf disc,HEAR,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
96,L_HEAR1S_6W,L,leaf disc,HEAR,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
97,L_HEAR2S_1T,L,leaf disc,HEAR,2,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
98,L_HEAR2S_2T,L,leaf disc,HEAR,2,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
99,L_HEAR2S_3T,L,leaf disc,HEAR,2,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
100,L_HEAR2S_4T,L,leaf disc,HEAR,2,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
101,L_HEAR2S_5T,L,leaf disc,HEAR,2,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
102,L_HEAR2S_6T,L,leaf disc,HEAR,2,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
103,L_HEAR2S_1W,L,leaf disc,HEAR,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
104,L_HEAR2S_2W,L,leaf disc,HEAR,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
105,L_HEAR2S_3W,L,leaf disc,HEAR,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
106,L_HEAR2S_4W,L,leaf disc,HEAR,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
107,L_HEAR2S_5W,L,leaf disc,HEAR,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
108,L_HEAR2S_6W,L,leaf disc,HEAR,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
109,L_HEAR3S_1T,L,leaf disc,HEAR,3,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
110,L_HEAR3S_2T,L,leaf disc,HEAR,3,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
111,L_HEAR3S_3T,L,leaf disc,HEAR,3,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
112,L_HEAR3S_4T,L,leaf disc,HEAR,3,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
113,L_HEAR3S_5T,L,leaf disc,HEAR,3,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
114,L_HEAR3S_6T,L,leaf disc,HEAR,3,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
115,L_HEAR3S_1W,L,leaf disc,HEAR,3,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
116,L_HEAR3S_2W,L,leaf disc,HEAR,3,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
117,L_HEAR3S_3W,L,leaf disc,HEAR,3,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
118,L_HEAR3S_4W,L,leaf disc,HEAR,3,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
119,L_HEAR3S_5W,L,leaf disc,HEAR,3,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
120,L_HEAR3S_6W,L,leaf disc,HEAR,3,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
121,L_LIDE1S_1T,L,leaf disc,LIDE,1,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
122,L_LIDE1S_2T,L,leaf disc,LIDE,1,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
123,L_LIDE1S_3T,L,leaf disc,LIDE,1,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
124,L_LIDE1S_4T,L,leaf disc,LIDE,1,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
125,L_LIDE1S_5T,L,leaf disc,LIDE,1,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
126,L_LIDE1S_6T,L,leaf disc,LIDE,1,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
127,L_LIDE1S_1W,L,leaf disc,LIDE,1,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
128,L_LIDE1S_2W,L,leaf disc,LIDE,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
129,L_LIDE1S_3W,L,leaf disc,LIDE,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
130,L_LIDE1S_4W,L,leaf disc,LIDE,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
131,L_LIDE1S_5W,L,leaf disc,LIDE,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
132,L_LIDE1S_6W,L,leaf disc,LIDE,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
133,L_LIDE2S_1T,L,leaf disc,LIDE,2,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
134,L_LIDE2S_2T,L,leaf disc,LIDE,2,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
135,L_LIDE2S_3T,L,leaf disc,LIDE,2,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
136,L_LIDE2S_4T,L,leaf disc,LIDE,2,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
137,L_LIDE2S_5T,L,leaf disc,LIDE,2,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
138,L_LIDE2S_6T,L,leaf disc,LIDE,2,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
139,L_LIDE2S_1W,L,leaf disc,LIDE,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
140,L_LIDE2S_2W,L,leaf disc,LIDE,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
141,L_LIDE2S_3W,L,leaf disc,LIDE,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
142,L_LIDE2S_4W,L,leaf disc,LIDE,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
143,L_LIDE2S_5W,L,leaf disc,LIDE,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
144,L_LIDE2S_6W,L,leaf disc,LIDE,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
145,L_LIDE3S_1T,L,leaf disc,LIDE,3,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
146,L_LIDE3S_2T,L,leaf disc,LIDE,3,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
147,L_LIDE3S_3T,L,leaf disc,LIDE,3,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
148,L_LIDE3S_4T,L,leaf disc,LIDE,3,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
149,L_LIDE3S_5T,L,leaf disc,LIDE,3,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
150,L_LIDE3S_6T,L,leaf disc,LIDE,3,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
151,L_LIDE3S_1W,L,leaf disc,LIDE,3,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
152,L_LIDE3S_2W,L,leaf disc,LIDE,3,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
153,L_LIDE3S_3W,L,leaf disc,LIDE,3,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
154,L_LIDE3S_4W,L,leaf disc,LIDE,3,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
155,L_LIDE3S_5W,L,leaf disc,LIDE,3,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
156,L_LIDE3S_6W,L,leaf disc,LIDE,3,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
157,L_QUAG1S_1T,L,leaf disc,QUAG,1,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
158,L_QUAG1S_2T,L,leaf disc,QUAG,1,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
159,L_QUAG1S_3T,L,leaf disc,QUAG,1,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
160,L_QUAG1S_4T,L,leaf disc,QUAG,1,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
161,L_QUAG1S_5T,L,leaf disc,QUAG,1,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
162,L_QUAG1S_6T,L,leaf disc,QUAG,1,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
163,L_QUAG1S_1W,L,leaf disc,QUAG,1,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
164,L_QUAG1S_2W,L,leaf disc,QUAG,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
165,L_QUAG1S_3W,L,leaf disc,QUAG,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
166,L_QUAG1S_4W,L,leaf disc,QUAG,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
167,L_QUAG1S_5W,L,leaf disc,QUAG,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
168,L_QUAG1S_6W,L,leaf disc,QUAG,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
169,L_QUAG2S_1T,L,leaf disc,QUAG,2,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
170,L_QUAG2S_2T,L,leaf disc,QUAG,2,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
171,L_QUAG2S_3T,L,leaf disc,QUAG,2,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
172,L_QUAG2S_4T,L,leaf disc,QUAG,2,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
173,L_QUAG2S_5T,L,leaf disc,QUAG,2,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
174,L_QUAG2S_6T,L,leaf disc,QUAG,2,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
175,L_QUAG2S_1W,L,leaf disc,QUAG,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
176,L_QUAG2S_2W,L,leaf disc,QUAG,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
177,L_QUAG2S_3W,L,leaf disc,QUAG,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
178,L_QUAG2S_4W,L,leaf disc,QUAG,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
179,L_QUAG2S_5W,L,leaf disc,QUAG,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
180,L_QUAG2S_6W,L,leaf disc,QUAG,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
181,L_QUAG3S_1T,L,leaf disc,QUAG,3,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
182,L_QUAG3S_2T,L,leaf disc,QUAG,3,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
183,L_QUAG3S_3T,L,leaf disc,QUAG,3,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
184,L_QUAG3S_4T,L,leaf disc,QUAG,3,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
185,L_QUAG3S_5T,L,leaf disc,QUAG,3,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
186,L_QUAG3S_6T,L,leaf disc,QUAG,3,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
187,L_QUAG3S_1W,L,leaf disc,QUAG,3,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
188,L_QUAG3S_2W,L,leaf disc,QUAG,3,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
189,L_QUAG3S_3W,L,leaf disc,QUAG,3,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
190,L_QUAG3S_4W,L,leaf disc,QUAG,3,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
191,L_QUAG3S_5W,L,leaf disc,QUAG,3,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
192,L_QUAG3S_6W,L,leaf disc,QUAG,3,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
193,L_QUCH1S_1T,L,leaf disc,QUCH,1,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
194,L_QUCH1S_2T,L,leaf disc,QUCH,1,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
195,L_QUCH1S_3T,L,leaf disc,QUCH,1,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
196,L_QUCH1S_4T,L,leaf disc,QUCH,1,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
197,L_QUCH1S_5T,L,leaf disc,QUCH,1,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
198,L_QUCH1S_6T,L,leaf disc,QUCH,1,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
199,L_QUCH1S_1W,L,leaf disc,QUCH,1,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
200,L_QUCH1S_2W,L,leaf disc,QUCH,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
201,L_QUCH1S_3W,L,leaf disc,QUCH,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
202,L_QUCH1S_4W,L,leaf disc,QUCH,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
203,L_QUCH1S_5W,L,leaf disc,QUCH,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
204,L_QUCH1S_6W,L,leaf disc,QUCH,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
205,L_QUCH2S_1T,L,leaf disc,QUCH,2,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
206,L_QUCH2S_2T,L,leaf disc,QUCH,2,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
207,L_QUCH2S_3T,L,leaf disc,QUCH,2,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
208,L_QUCH2S_4T,L,leaf disc,QUCH,2,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
209,L_QUCH2S_5T,L,leaf disc,QUCH,2,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
210,L_QUCH2S_6T,L,leaf disc,QUCH,2,T,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
211,L_QUCH2S_1W,L,leaf disc,QUCH,2,W,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
212,L_QUCH2S_2W,L,leaf disc,QUCH,2,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
213,L_QUCH2S_3W,L,leaf disc,QUCH,2,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
214,L_QUCH2S_4W,L,leaf disc,QUCH,2,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
215,L_QUCH2S_5W,L,leaf disc,QUCH,2,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
216,L_QUCH2S_6W,L,leaf disc,QUCH,2,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
217,L_QUCH3S_1T,L,leaf disc,QUCH,3,T,S,sporangia,1,1,.2 ml,,,,,,,,,,,,0
218,L_QUCH3S_2T,L,leaf disc,QUCH,3,T,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
219,L_QUCH3S_3T,L,leaf disc,QUCH,3,T,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
220,L_QUCH3S_4T,L,leaf disc,QUCH,3,T,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
221,L_QUCH3S_5T,L,leaf disc,QUCH,3,T,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
