No,code,assay,species,ind,trt,spore,leaf,rep,tubes,count.mu,spores_cm2,count.sd,date_counted,water,p.area,manual,remove,notes
48,L_ARME1S_6W,L,ARME,1,W,S,6,6,.2 ml,0.1,8.130081301,0.12,26-Jun,1,1.76E-05,1,,H2O
49,L_ARME2S_1T,L,ARME,2,T,S,1,1,.2 ml,0.13,10.56910569,0.23,26-Jun,0,0.83153,0,,
50,L_ARME2S_2T,L,ARME,2,T,S,2,2,.2 ml,0.6,48.7804878,0.2,26-Jun,0,0.70099,0,,
51,L_ARME2S_3T,L,ARME,2,T,S,3,3,.2 ml,0.07,5.691056911,0.12,26-Jun,0,0.66571,0,,
52,L_ARME2S_4T,L,ARME,2,T,S,4,4,.2 ml,0.4,32.5203252,0.2,26-Jun,0,0.91328,0,,
53,L_ARME2S_5T,L,ARME,2,T,S,5,5,.2 ml,0,0,0,26-Jun,0,0.33667,0,,
54,L_ARME2S_6T,L,ARME,2,T,S,6,6,.2 ml,0,0,0,26-Jun,1,0.004490388,1,,H2Odone manually
55,L_ARME2S_1W,L,ARME,2,W,S,1,1,.2 ml,0,0,0,26-Jun,0,1.67E-05,1,,
56,L_ARME2S_2W,L,ARME,2,W,S,2,2,.2 ml,0,0,0,26-Jun,0,1.30E-05,1,,
57,L_ARME2S_3W,L,ARME,2,W,S,3,3,.2 ml,0,0,0,26-Jun,0,5.53E-05,1,,
58,L_ARME2S_4W,L,ARME,2,W,S,4,4,.2 ml,0,0,0,26-Jun,0,3.76E-05,1,,
59,L_ARME2S_5W,L,ARME,2,W,S,5,5,.2 ml,0,0,0,26-Jun,0,5.57E-06,1,,
60,L_ARME2S_6W,L,ARME,2,W,S,6,6,.2 ml,0,0,0,26-Jun,0,1.86E-05,1,,
61,L_ARME3S_1T,L,ARME,3,T,S,1,1,.2 ml,0.3,24.3902439,0.26,26-Jun,1,NA,1,,H2OARME 3 photo missing
62,L_ARME3S_2T,L,ARME,3,T,S,2,2,.2 ml,0,0,0,26-Jun,0,NA,1,,ARME 3 photo missing
63,L_ARME3S_3T,L,ARME,3,T,S,3,3,.2 ml,0.2,16.2601626,0,26-Jun,0,NA,1,,interesting to see a clump of myceliumARME 3 photo missing
64,L_ARME3S_4T,L,ARME,3,T,S,4,4,.2 ml,0.27,21.95121951,0.31,26-Jun,0,NA,1,,ARME 3 photo missing
65,L_ARME3S_5T,L,ARME,3,T,S,5,5,.2 ml,0.47,38.21138211,0.23,26-Jun,0,NA,1,,ARME 3 photo missing
66,L_ARME3S_6T,L,ARME,3,T,S,6,6,.2 ml,0.13,10.56910569,0.12,26-Jun,0,NA,1,,ARME 3 photo missing
67,L_ARME3S_1W,L,ARME,3,W,S,1,1,.2 ml,0,0,0,26-Jun,1,NA,1,,H2OARME 3 photo missing
68,L_ARME3S_2W,L,ARME,3,W,S,2,2,.2 ml,0,0,0,19-Jul,0,NA,1,,ARME 3 photo missing
69,L_ARME3S_3W,L,ARME,3,W,S,3,3,.2 ml,0,0,0,19-Jul,0,NA,1,,ARME 3 photo missing
70,L_ARME3S_4W,L,ARME,3,W,S,4,4,.2 ml,0,0,0,19-Jul,0,NA,1,,ARME 3 photo missing
71,L_ARME3S_5W,L,ARME,3,W,S,5,5,.2 ml,0,0,0,19-Jul,0,NA,1,,ARME 3 photo missing
72,L_ARME3S_6W,L,ARME,3,W,S,6,6,.2 ml,0,0,0,19-Jul,0,NA,1,,ARME 3 photo missing
73,L_CEOL1S_1T,L,CEOL,1,T,S,1,1,.2 ml,0.3,24.3902439,0.26,25-Jun,1,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individualwaterappears to have no lesions whatsoever (T+W) NA?
74,L_CEOL1S_2T,L,CEOL,1,T,S,2,2,.2 ml,0.27,21.95121951,0.12,25-Jun,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
75,L_CEOL1S_3T,L,CEOL,1,T,S,3,3,.2 ml,0.2,16.2601626,0.2,25-Jun,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
76,L_CEOL1S_4T,L,CEOL,1,T,S,4,4,.2 ml,0,0,0,25-Jun,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
77,L_CEOL1S_5T,L,CEOL,1,T,S,5,5,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
78,L_CEOL1S_6T,L,CEOL,1,T,S,6,6,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
79,L_CEOL1S_1W,L,CEOL,1,W,S,7,1,.2 ml,0,0,0,25-Jun,1,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individualwater
80,L_CEOL1S_2W,L,CEOL,1,W,S,8,2,.2 ml,0,0,0,19-Jul,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
81,L_CEOL1S_3W,L,CEOL,1,W,S,9,3,.2 ml,0,0,0,19-Jul,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
82,L_CEOL1S_4W,L,CEOL,1,W,S,10,4,.2 ml,0,0,0,19-Jul,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
83,L_CEOL1S_5W,L,CEOL,1,W,S,11,5,.2 ml,0,0,0,19-Jul,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
84,L_CEOL1S_6W,L,CEOL,1,W,S,12,6,.2 ml,0,0,0,19-Jul,0,0,1,,1 disc cut per leaf. Pairs between S and C.Only 1 individual
85,L_HEAR1S_1T,L,HEAR,1,T,S,1,1,.2 ml,0.3,24.3902439,0.26,19-Jul,0,0.003254591,1,,done manually
86,L_HEAR1S_2T,L,HEAR,1,T,S,2,2,.2 ml,0.27,21.95121951,0.12,19-Jul,0,0.003789592,1,,"leaf disc not complete oval, done manually"
87,L_HEAR1S_3T,L,HEAR,1,T,S,3,3,.2 ml,0.2,16.2601626,0,19-Jul,0,0.36526,0,,
88,L_HEAR1S_4T,L,HEAR,1,T,S,4,4,.2 ml,0.2,16.2601626,0.35,19-Jul,0,0.002239389,1,,done manually
89,L_HEAR1S_5T,L,HEAR,1,T,S,5,5,.2 ml,0.07,5.691056911,0.12,19-Jul,0,0.003793771,1,,"leaf disc not complete oval, done manually"
90,L_HEAR1S_6T,L,HEAR,1,T,S,6,6,.2 ml,0.13,10.56910569,0.23,19-Jul,0,1,1,,"done manually. lesions were light, but def entire leaf area"
91,L_HEAR1S_1W,L,HEAR,1,W,S,1,1,.2 ml,0,0,0,25-Jun,1,6.78E-05,1,,water
92,L_HEAR1S_2W,L,HEAR,1,W,S,2,2,.2 ml,0,0,0,25-Jun,0,0,1,,nematodes???
93,L_HEAR1S_3W,L,HEAR,1,W,S,3,3,.2 ml,0,0,0,25-Jun,0,0.000173225,1,,trichomes???
94,L_HEAR1S_4W,L,HEAR,1,W,S,4,4,.2 ml,0,0,0,25-Jun,0,0.000351095,1,,
95,L_HEAR1S_5W,L,HEAR,1,W,S,5,5,.2 ml,0,0,0,25-Jun,0,6.18E-05,1,,
96,L_HEAR1S_6W,L,HEAR,1,W,S,6,6,.2 ml,0,0,0,25-Jun,0,5.39E-05,1,,
97,L_HEAR2S_1T,L,HEAR,2,T,S,1,1,.2 ml,0.25,20.32520325,0.19,25-Jun,1,0.003683706,1,,waterdone manually
98,L_HEAR2S_2T,L,HEAR,2,T,S,2,2,.2 ml,0.47,38.21138211,0.12,25-Jun,0,0.004347349,1,,done manually
99,L_HEAR2S_3T,L,HEAR,2,T,S,3,3,.2 ml,0.2,16.2601626,0.35,25-Jun,0,0.2034,0,,
100,L_HEAR2S_4T,L,HEAR,2,T,S,4,4,.2 ml,0.27,21.95121951,0.12,25-Jun,0,0.22845,0,,
101,L_HEAR2S_5T,L,HEAR,2,T,S,5,5,.2 ml,0.13,10.56910569,0.23,25-Jun,0,0.45238,0,,
102,L_HEAR2S_6T,L,HEAR,2,T,S,6,6,.2 ml,0.13,10.56910569,0.12,25-Jun,0,0.25303,0,,
103,L_HEAR2S_1W,L,HEAR,2,W,S,1,1,.2 ml,0,0,0,25-Jun,0,0,1,,
104,L_HEAR2S_2W,L,HEAR,2,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
105,L_HEAR2S_3W,L,HEAR,2,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
106,L_HEAR2S_4W,L,HEAR,2,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
107,L_HEAR2S_5W,L,HEAR,2,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
108,L_HEAR2S_6W,L,HEAR,2,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0.000123069,1,,
109,L_HEAR3S_1T,L,HEAR,3,T,S,1,1,.2 ml,0.15,12.19512195,0.19,25-Jun,1,0.002739095,1,,"waterdone manually, shading on ridges of leaf"
110,L_HEAR3S_2T,L,HEAR,3,T,S,2,2,.2 ml,0.53,43.08943089,0.12,25-Jun,0,0.003331218,1,,
111,L_HEAR3S_3T,L,HEAR,3,T,S,3,3,.2 ml,0.47,38.21138211,0.23,25-Jun,0,0.21317,0,,
112,L_HEAR3S_4T,L,HEAR,3,T,S,4,4,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0.004160656,1,,done manually
113,L_HEAR3S_5T,L,HEAR,3,T,S,5,5,.2 ml,0.33,26.82926829,0.42,25-Jun,0,0.5438,0,,
114,L_HEAR3S_6T,L,HEAR,3,T,S,6,6,.2 ml,0.53,43.08943089,0.31,25-Jun,0,0.80036,0,,
115,L_HEAR3S_1W,L,HEAR,3,W,S,1,1,.2 ml,0,0,0,25-Jun,1,3.30E-05,1,,water
116,L_HEAR3S_2W,L,HEAR,3,W,S,2,2,.2 ml,0,0,0,19-Jul,0,5.25E-05,1,,
117,L_HEAR3S_3W,L,HEAR,3,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
118,L_HEAR3S_4W,L,HEAR,3,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0.001814453,1,,dark spots around perimeter = browning? not lesion?
119,L_HEAR3S_5W,L,HEAR,3,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0.000391963,1,,
120,L_HEAR3S_6W,L,HEAR,3,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0,1,,
121,L_LIDE1S_1T,L,LIDE,1,T,S,1,1,.2 ml,0.35,28.45528455,0.19,25-Jun,1,1,1,,waterdone manually. def entire leaf area
122,L_LIDE1S_2T,L,LIDE,1,T,S,2,2,.2 ml,0.2,16.2601626,0.2,25-Jun,0,1,1,,
123,L_LIDE1S_3T,L,LIDE,1,T,S,3,3,.2 ml,0.47,38.21138211,0.12,25-Jun,0,1,1,,
124,L_LIDE1S_4T,L,LIDE,1,T,S,4,4,.2 ml,0.33,26.82926829,0.23,25-Jun,0,1,1,,
125,L_LIDE1S_5T,L,LIDE,1,T,S,5,5,.2 ml,0.13,10.56910569,0.12,25-Jun,0,1,1,,
126,L_LIDE1S_6T,L,LIDE,1,T,S,6,6,.2 ml,0.4,32.5203252,0.35,25-Jun,0,1,1,,
127,L_LIDE1S_1W,L,LIDE,1,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
128,L_LIDE1S_2W,L,LIDE,1,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
129,L_LIDE1S_3W,L,LIDE,1,W,S,3,3,.2 ml,0,0,0,19-Jul,0,7.38E-05,1,,
130,L_LIDE1S_4W,L,LIDE,1,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
131,L_LIDE1S_5W,L,LIDE,1,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
132,L_LIDE1S_6W,L,LIDE,1,W,S,6,6,.2 ml,0,0,0,19-Jul,0,6.78E-05,1,,
133,L_LIDE2S_1T,L,LIDE,2,T,S,1,1,.2 ml,0.15,12.19512195,0.1,25-Jun,1,0.05479,0,,water
134,L_LIDE2S_2T,L,LIDE,2,T,S,2,2,.2 ml,0,0,0,25-Jun,0,0.07421,0,,
135,L_LIDE2S_3T,L,LIDE,2,T,S,3,3,.2 ml,0.4,32.5203252,0.4,25-Jun,0,0.06309,0,,
136,L_LIDE2S_4T,L,LIDE,2,T,S,4,4,.2 ml,0.2,16.2601626,0.35,25-Jun,0,0.60759,0,,
137,L_LIDE2S_5T,L,LIDE,2,T,S,5,5,.2 ml,0.07,5.691056911,0.12,25-Jun,0,0.04168,0,,
138,L_LIDE2S_6T,L,LIDE,2,T,S,6,6,.2 ml,0.67,54.47154472,0.61,25-Jun,0,0.1268,0,,
139,L_LIDE2S_1W,L,LIDE,2,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
140,L_LIDE2S_2W,L,LIDE,2,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
141,L_LIDE2S_3W,L,LIDE,2,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
142,L_LIDE2S_4W,L,LIDE,2,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
143,L_LIDE2S_5W,L,LIDE,2,W,S,5,5,.2 ml,0,0,0,19-Jul,0,4.97E-05,1,,consider second look
144,L_LIDE2S_6W,L,LIDE,2,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0.000122604,1,,
145,L_LIDE3S_1T,L,LIDE,3,T,S,1,1,.2 ml,0.4,32.5203252,0.33,25-Jun,1,0.61406,0,,water
146,L_LIDE3S_2T,L,LIDE,3,T,S,2,2,.2 ml,0.53,43.08943089,0.12,25-Jun,0,0.96827,0,,
147,L_LIDE3S_3T,L,LIDE,3,T,S,3,3,.2 ml,0.47,38.21138211,0.31,25-Jun,0,0.96865,0,,
148,L_LIDE3S_4T,L,LIDE,3,T,S,4,4,.2 ml,0.2,16.2601626,0.2,25-Jun,0,0.98164,0,,
149,L_LIDE3S_5T,L,LIDE,3,T,S,5,5,.2 ml,0.67,54.47154472,0.46,25-Jun,0,1,1,,"leaf disc not circular, done manually"
150,L_LIDE3S_6T,L,LIDE,3,T,S,6,6,.2 ml,0.4,32.5203252,0.2,25-Jun,0,1,1,,"done manually, but lesions def covered entire leaf area"
151,L_LIDE3S_1W,L,LIDE,3,W,S,1,1,.2 ml,0,0,0,25-Jun,1,0,1,,water
152,L_LIDE3S_2W,L,LIDE,3,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
153,L_LIDE3S_3W,L,LIDE,3,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
154,L_LIDE3S_4W,L,LIDE,3,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
155,L_LIDE3S_5W,L,LIDE,3,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
156,L_LIDE3S_6W,L,LIDE,3,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0,1,,
157,L_QUAG1S_1T,L,QUAG,1,T,S,1,1,.2 ml,0.5,40.6504065,0.42,26-Jun,1,0,1,,waterclearly no lesions for all T
158,L_QUAG1S_2T,L,QUAG,1,T,S,2,2,.2 ml,0.2,16.2601626,0.35,26-Jun,0,0,1,,
159,L_QUAG1S_3T,L,QUAG,1,T,S,3,3,.2 ml,0.27,21.95121951,0.31,26-Jun,0,0,1,,
160,L_QUAG1S_4T,L,QUAG,1,T,S,4,4,.2 ml,0.8,65.04065041,0.35,26-Jun,0,0,1,,
161,L_QUAG1S_5T,L,QUAG,1,T,S,5,5,.2 ml,0.53,43.08943089,0.31,26-Jun,0,0,1,,
162,L_QUAG1S_6T,L,QUAG,1,T,S,6,6,.2 ml,0.87,70.73170732,0.42,26-Jun,0,0,1,,
163,L_QUAG1S_1W,L,QUAG,1,W,S,1,1,.2 ml,0,0,0,26-Jun,1,0,1,,water
164,L_QUAG1S_2W,L,QUAG,1,W,S,2,2,.2 ml,0,0,0,26-Jun,0,0,1,,
165,L_QUAG1S_3W,L,QUAG,1,W,S,3,3,.2 ml,0,0,0,26-Jun,0,0,1,,
166,L_QUAG1S_4W,L,QUAG,1,W,S,4,4,.2 ml,0,0,0,26-Jun,0,0,1,,
167,L_QUAG1S_5W,L,QUAG,1,W,S,5,5,.2 ml,0,0,0,26-Jun,0,0,1,,
168,L_QUAG1S_6W,L,QUAG,1,W,S,6,6,.2 ml,NA,#VALUE!,NA,26-Jun,0,0,1,,
169,L_QUAG2S_1T,L,QUAG,2,T,S,1,1,.2 ml,1.45,117.8861789,0.3,26-Jun,1,0.15181,0,,water
170,L_QUAG2S_2T,L,QUAG,2,T,S,2,2,.2 ml,0,0,0,26-Jun,0,1,1,,entire leaf area covered
171,L_QUAG2S_3T,L,QUAG,2,T,S,3,3,.2 ml,0.13,10.56910569,0.12,26-Jun,0,0.15612,0,,
172,L_QUAG2S_4T,L,QUAG,2,T,S,4,4,.2 ml,1.2,97.56097561,0.35,26-Jun,0,0.15721,0,,
173,L_QUAG2S_5T,L,QUAG,2,T,S,5,5,.2 ml,0,0,0,26-Jun,0,0.42604,0,,
174,L_QUAG2S_6T,L,QUAG,2,T,S,6,6,.2 ml,0,0,0,26-Jun,0,0.68087,0,,
175,L_QUAG2S_1W,L,QUAG,2,W,S,1,1,.2 ml,NA,#VALUE!,NA,26-Jun,0,0,1,,175-176 mixed :(mixed sp. samples
176,L_QUAG2S_2W,L,QUAG,2,W,S,2,2,.2 ml,NA,#VALUE!,NA,26-Jun,0,1,1,,175-176 mixed :(mixed sp. samples
177,L_QUAG2S_3W,L,QUAG,2,W,S,3,3,.2 ml,0,0,0,26-Jun,0,0,1,,
178,L_QUAG2S_4W,L,QUAG,2,W,S,4,4,.2 ml,0,0,0,26-Jun,0,0,1,,
179,L_QUAG2S_5W,L,QUAG,2,W,S,5,5,.2 ml,0,0,0,26-Jun,0,0.001124803,1,,
180,L_QUAG2S_6W,L,QUAG,2,W,S,6,6,.2 ml,0,0,0,26-Jun,0,0.001038422,1,,
181,L_QUAG3S_1T,L,QUAG,3,T,S,1,1,.2 ml,0.67,54.47154472,0.12,26-Jun,0,0.03658,0,,
182,L_QUAG3S_2T,L,QUAG,3,T,S,2,2,.2 ml,0.8,65.04065041,1.06,26-Jun,0,0,1,,
183,L_QUAG3S_3T,L,QUAG,3,T,S,3,3,.2 ml,0.87,70.73170732,0.23,26-Jun,0,0.02007,0,,
184,L_QUAG3S_4T,L,QUAG,3,T,S,4,4,.2 ml,0.73,59.3495935,0.76,26-Jun,0,0.13921,0,,
185,L_QUAG3S_5T,L,QUAG,3,T,S,5,5,.2 ml,1.1,89.43089431,0.38,26-May,1,0.0968,0,,water
186,L_QUAG3S_6T,L,QUAG,3,T,S,6,6,.2 ml,0.2,16.2601626,0.16,26-May,0,0,1,,
187,L_QUAG3S_1W,L,QUAG,3,W,S,1,1,.2 ml,0,0,0,26-Jun,1,0,1,,water
188,L_QUAG3S_2W,L,QUAG,3,W,S,2,2,.2 ml,0,0,0,26-Jun,0,0,1,,
189,L_QUAG3S_3W,L,QUAG,3,W,S,3,3,.2 ml,0,0,0,26-Jun,0,0,1,,
190,L_QUAG3S_4W,L,QUAG,3,W,S,4,4,.2 ml,0,0,0,26-Jun,0,0,1,,
191,L_QUAG3S_5W,L,QUAG,3,W,S,5,5,.2 ml,0,0,0,26-Jun,0,0,1,,
192,L_QUAG3S_6W,L,QUAG,3,W,S,6,6,.2 ml,0,0,0,26-Jun,0,0,1,,
193,L_QUCH1S_1T,L,QUCH,1,T,S,1,1,.2 ml,0.05,4.06504065,0.1,26-Jun,1,0.000167188,1,,took 2 leaf discs/leaf. pairs between sp+chwater
194,L_QUCH1S_2T,L,QUCH,1,T,S,2,2,.2 ml,0.93,75.6097561,0.31,26-Jun,0,0,1,,took 2 leaf discs/leaf. pairs between sp+ch
195,L_QUCH1S_3T,L,QUCH,1,T,S,3,3,.2 ml,0.1,8.130081301,0.12,26-Jun,1,8.03E-05,1,,took 2 leaf discs/leaf. pairs between sp+chwater
196,L_QUCH1S_4T,L,QUCH,1,T,S,4,4,.2 ml,0.27,21.95121951,0.12,26-Jun,0,0,1,,took 2 leaf discs/leaf. pairs between sp+ch
197,L_QUCH1S_5T,L,QUCH,1,T,S,5,5,.2 ml,0.47,38.21138211,0.42,26-Jun,0,0.000317193,1,,took 2 leaf discs/leaf. pairs between sp+ch
198,L_QUCH1S_6T,L,QUCH,1,T,S,6,6,.2 ml,0.8,65.04065041,0.53,26-Jun,0,9.10E-05,1,,took 2 leaf discs/leaf. pairs between sp+ch
199,L_QUCH1S_1W,L,QUCH,1,W,S,1,1,.2 ml,0,0,0,26-Jun,1,0.000283755,1,,took 2 leaf discs/leaf. pairs between sp+chwater
200,L_QUCH1S_2W,L,QUCH,1,W,S,2,2,.2 ml,0,0,0,26-Jun,0,0.000103564,1,,took 2 leaf discs/leaf. pairs between sp+ch
201,L_QUCH1S_3W,L,QUCH,1,W,S,3,3,.2 ml,0,0,0,26-Jun,0,6.32E-05,1,,took 2 leaf discs/leaf. pairs between sp+ch
202,L_QUCH1S_4W,L,QUCH,1,W,S,4,4,.2 ml,0,0,0,26-Jun,0,1.81E-05,1,,took 2 leaf discs/leaf. pairs between sp+ch
203,L_QUCH1S_5W,L,QUCH,1,W,S,5,5,.2 ml,0,0,0,26-Jun,0,4.69E-05,1,,took 2 leaf discs/leaf. pairs between sp+ch
204,L_QUCH1S_6W,L,QUCH,1,W,S,6,6,.2 ml,0,0,0,26-Jun,0,0.000205734,1,,took 2 leaf discs/leaf. pairs between sp+ch
