sample,code,assay,species,ind,trt,spore,rep,p.area,manual,Notes_lesions
880,L_RHCA1C_4T,L,RHCA,1,T,C,4,0.89838,0,
961,L_UMCA2C_1T,L,UMCA,2,T,C,1,0.89115,0,
699,L_LIDE1C_3T,L,LIDE,1,T,C,3,0.87971,0,
917,L_TODI1C_5T,L,TODI,1,T,C,5,0.87341,0,
626,L_ARME2C_2T,L,ARME,2,T,C,2,0.87211,0,
963,L_UMCA2C_3T,L,UMCA,2,T,C,3,0.85837,0,
630,L_ARME2C_6T,L,ARME,2,T,C,6,0.8425,0,
590,L_ACMA2C_2T,L,ACMA,2,T,C,2,0.8404,0,
879,L_RHCA1C_3T,L,RHCA,1,T,C,3,0.83976,0,
954,L_UMCA1C_6T,L,UMCA,1,T,C,6,0.835,0,
962,L_UMCA2C_2T,L,UMCA,2,T,C,2,0.79873,0,
964,L_UMCA2C_4T,L,UMCA,2,T,C,4,0.79556,0,
950,L_UMCA1C_2T,L,UMCA,1,T,C,2,0.77642,0,
877,L_RHCA1C_1T,L,RHCA,1,T,C,1,0.76733,0,
977,L_UMCA3C_5T,L,UMCA,3,T,C,5,0.75188,0,
882,L_RHCA1C_6T,L,RHCA,1,T,C,6,0.74549,0,
628,L_ARME2C_4T,L,ARME,2,T,C,4,0.73393,0,
581,L_ACMA1C_5T,L,ACMA,1,T,C,5,0.73226,0,
625,L_ARME2C_1T,L,ARME,2,T,C,1,0.72573,0,
878,L_RHCA1C_2T,L,RHCA,1,T,C,2,0.72279,0,
582,L_ACMA1C_6T,L,ACMA,1,T,C,6,0.71658,0,
951,L_UMCA1C_3T,L,UMCA,1,T,C,3,0.69884,0,
938,L_TODI3C_2T,L,TODI,3,T,C,2,0.69127,0,
914,L_TODI1C_2T,L,TODI,1,T,C,2,0.66632,0,
578,L_ACMA1C_2T,L,ACMA,1,T,C,2,0.66306,0,
615,L_ARME1C_3T,L,ARME,1,T,C,3,0.64624,0,
591,L_ACMA2C_3T,L,ACMA,2,T,C,3,0.63392,0,
973,L_UMCA3C_1T,L,UMCA,3,T,C,1,0.62226,0,
915,L_TODI1C_3T,L,TODI,1,T,C,3,0.61211,0,
629,L_ARME2C_5T,L,ARME,2,T,C,5,0.60695,0,
942,L_TODI3C_6T,L,TODI,3,T,C,6,0.59827,0,
965,L_UMCA2C_5T,L,UMCA,2,T,C,5,0.59247,0,
579,L_ACMA1C_3T,L,ACMA,1,T,C,3,0.58817,0,
618,L_ARME1C_6T,L,ARME,1,T,C,6,0.57608,0,
966,L_UMCA2C_6T,L,UMCA,2,T,C,6,0.53896,0,
937,L_TODI3C_1T,L,TODI,3,T,C,1,0.53856,0,
1005,L_VAOV2C_3W,L,VAOV,2,W,C,3,0.53383,0,
1010,L_VAOV3C_2T,L,VAOV,3,T,C,2,0.52845,0,
690,L_HEAR3C_6T,L,HEAR,3,T,C,6,0.5063,0,
913,L_TODI1C_1T,L,TODI,1,T,C,1,0.50177,0,
674,L_HEAR2C_2T,L,HEAR,2,T,C,2,0.50114,0,
580,L_ACMA1C_4T,L,ACMA,1,T,C,4,0.49643,0,
1015,L_VAOV3C_1W,L,VAOV,3,W,C,1,0.49145,0,
819,L_QUKE2C_3T,L,QUKE,2,T,C,3,0.48813,0,
614,L_ARME1C_2T,L,ARME,1,T,C,2,0.45831,0,
949,L_UMCA1C_1T,L,UMCA,1,T,C,1,0.44774,0,
925,L_TODI2C_1T,L,TODI,2,T,C,1,0.44182,0,
822,L_QUKE2C_6T,L,QUKE,2,T,C,6,0.42962,0,
749,L_QUAG2C_5T,L,QUAG,2,T,C,5,0.40941,0,
673,L_HEAR2C_1T,L,HEAR,2,T,C,1,0.40693,0,
918,L_TODI1C_6T,L,TODI,1,T,C,6,0.39306,0,
676,L_HEAR2C_4T,L,HEAR,2,T,C,4,0.38263,0,
939,L_TODI3C_3T,L,TODI,3,T,C,3,0.37604,0,
916,L_TODI1C_4T,L,TODI,1,T,C,4,0.37142,0,
686,L_HEAR3C_2T,L,HEAR,3,T,C,2,0.36221,0,
927,L_TODI2C_3T,L,TODI,2,T,C,3,0.34206,0,
714,L_LIDE2C_6T,L,LIDE,2,T,C,6,0.33607,0,
881,L_RHCA1C_5T,L,RHCA,1,T,C,5,0.33265,0,
677,L_HEAR2C_5T,L,HEAR,2,T,C,5,0.32911,0,
856,L_QUPA2C_4T,L,QUPA,2,T,C,4,0.32751,0,
940,L_TODI3C_4T,L,TODI,3,T,C,4,0.32593,0,
675,L_HEAR2C_3T,L,HEAR,2,T,C,3,0.32189,0,
808,L_QUKE1C_4T,L,QUKE,1,T,C,4,0.32165,0,
810,L_QUKE1C_6T,L,QUKE,1,T,C,6,0.32019,0,
613,L_ARME1C_1T,L,ARME,1,T,C,1,0.31665,0,
687,L_HEAR3C_3T,L,HEAR,3,T,C,3,0.30331,0,
721,L_LIDE3C_1T,L,LIDE,3,T,C,1,0.3031,0,
894,L_RHCA2C_6T,L,RHCA,2,T,C,6,0.30212,0,
711,L_LIDE2C_3T,L,LIDE,2,T,C,3,0.30133,0,
662,L_HEAR1C_2T,L,HEAR,1,T,C,2,0.29437,0,
818,L_QUKE2C_2T,L,QUKE,2,T,C,2,0.28831,0,
817,L_QUKE2C_1T,L,QUKE,2,T,C,1,0.28481,0,
941,L_TODI3C_5T,L,TODI,3,T,C,5,0.28405,0,
832,L_QUKE3C_4T,L,QUKE,3,T,C,4,0.27947,0,
666,L_HEAR1C_6T,L,HEAR,1,T,C,6,0.26977,0,
857,L_QUPA2C_5T,L,QUPA,2,T,C,5,0.26502,0,
678,L_HEAR2C_6T,L,HEAR,2,T,C,6,0.26366,0,
891,L_RHCA2C_3T,L,RHCA,2,T,C,3,0.25015,0,
820,L_QUKE2C_4T,L,QUKE,2,T,C,4,0.24873,0,
616,L_ARME1C_4T,L,ARME,1,T,C,4,0.24177,0,
831,L_QUKE3C_3T,L,QUKE,3,T,C,3,0.23698,0,
809,L_QUKE1C_5T,L,QUKE,1,T,C,5,0.22655,0,
928,L_TODI2C_4T,L,TODI,2,T,C,4,0.22232,0,
750,L_QUAG2C_6T,L,QUAG,2,T,C,6,0.22193,0,
821,L_QUKE2C_5T,L,QUKE,2,T,C,5,0.2208,0,
830,L_QUKE3C_2T,L,QUKE,3,T,C,2,0.2186,0,
688,L_HEAR3C_4T,L,HEAR,3,T,C,4,0.21383,0,
833,L_QUKE3C_5T,L,QUKE,3,T,C,5,0.21202,0,
807,L_QUKE1C_3T,L,QUKE,1,T,C,3,0.21136,0,
709,L_LIDE2C_1T,L,LIDE,2,T,C,1,0.20406,0,
890,L_RHCA2C_2T,L,RHCA,2,T,C,2,0.19955,0,
978,L_UMCA3C_6T,L,UMCA,3,T,C,6,0.19876,0,
930,L_TODI2C_6T,L,TODI,2,T,C,6,0.19693,0,
976,L_UMCA3C_4T,L,UMCA,3,T,C,4,0.18787,0,
710,L_LIDE2C_2T,L,LIDE,2,T,C,2,0.18733,0,
617,L_ARME1C_5T,L,ARME,1,T,C,5,0.18539,0,
829,L_QUKE3C_1T,L,QUKE,3,T,C,1,0.18465,0,
834,L_QUKE3C_6T,L,QUKE,3,T,C,6,0.1755,0,
853,L_QUPA2C_1T,L,QUPA,2,T,C,1,0.17369,0,
926,L_TODI2C_2T,L,TODI,2,T,C,2,0.1709,0,
854,L_QUPA2C_2T,L,QUPA,2,T,C,2,0.1661,0,
745,L_QUAG2C_1T,L,QUAG,2,T,C,1,0.16606,0,
806,L_QUKE1C_2T,L,QUKE,1,T,C,2,0.16233,0,
1004,L_VAOV2C_2W,L,VAOV,2,W,C,2,0.15539,0,
889,L_RHCA2C_1T,L,RHCA,2,T,C,1,0.14316,0,
805,L_QUKE1C_1T,L,QUKE,1,T,C,1,0.1375,0,
858,L_QUPA2C_6T,L,QUPA,2,T,C,6,0.13707,0,
929,L_TODI2C_5T,L,TODI,2,T,C,5,0.13639,0,
747,L_QUAG2C_3T,L,QUAG,2,T,C,3,0.12961,0,
855,L_QUPA2C_3T,L,QUPA,2,T,C,3,0.12927,0,
893,L_RHCA2C_5T,L,RHCA,2,T,C,5,0.12927,0,
892,L_RHCA2C_4T,L,RHCA,2,T,C,4,0.12911,0,
761,L_QUAG3C_5T,L,QUAG,3,T,C,5,0.12488,0,
759,L_QUAG3C_3T,L,QUAG,3,T,C,3,0.11393,0,
748,L_QUAG2C_4T,L,QUAG,2,T,C,4,0.11102,0,
712,L_LIDE2C_4T,L,LIDE,2,T,C,4,0.08965,0,
760,L_QUAG3C_4T,L,QUAG,3,T,C,4,0.08092,0,
713,L_LIDE2C_5T,L,LIDE,2,T,C,5,0.08066,0,
953,L_UMCA1C_5T,L,UMCA,1,T,C,5,0.06323,0,
782,L_QUCH2C_2T,L,QUCH,2,T,C,2,0.05283,0,
762,L_QUAG3C_6T,L,QUAG,3,T,C,6,0.02345,0,
781,L_QUCH2C_1T,L,QUCH,2,T,C,1,0.00911,0,
661,L_HEAR1C_1T,L,HEAR,1,T,C,1,0.00896127,1,done manually
986,L_VAOV1C_2T,L,VAOV,1,T,C,2,0.00888,0,
755,L_QUAG2C_5W,L,QUAG,2,W,C,5,0.008655223,1,
985,L_VAOV1C_1T,L,VAOV,1,T,C,1,0.00836,0,
1017,L_VAOV3C_3W,L,VAOV,3,W,C,3,0.008359394,1,
987,L_VAOV1C_3T,L,VAOV,1,T,C,3,0.00487,0,
1016,L_VAOV3C_2W,L,VAOV,3,W,C,2,0.003829995,1,
989,L_VAOV1C_5T,L,VAOV,1,T,C,5,0.00381,0,
689,L_HEAR3C_5T,L,HEAR,3,T,C,5,0.003416205,1,done manually
663,L_HEAR1C_3T,L,HEAR,1,T,C,3,0.002782285,1,done manually
665,L_HEAR1C_5T,L,HEAR,1,T,C,5,0.002765102,1,"leaf disc not complete oval, done manually"
756,L_QUAG2C_6W,L,QUAG,2,W,C,6,0.002729806,1,
685,L_HEAR3C_1T,L,HEAR,3,T,C,1,0.00246695,1,"done manually, shading on ridges of leaf"
863,L_QUPA2C_5W,L,QUPA,2,W,C,5,0.002391251,1,
988,L_VAOV1C_4T,L,VAOV,1,T,C,4,0.0022,0,
695,L_HEAR3C_5W,L,HEAR,3,W,C,5,0.001963993,1,dark spots around perimeter = browning? not lesion?
990,L_VAOV1C_6T,L,VAOV,1,T,C,6,0.00179,0,
948,L_TODI3C_6W,L,TODI,3,W,C,6,0.001777764,1,
920,L_TODI1C_2W,L,TODI,1,W,C,2,0.001715998,1,
842,L_QUPA1C_2T,L,QUPA,1,T,C,2,0.00129292,1,
843,L_QUPA1C_3T,L,QUPA,1,T,C,3,0.001259482,1,
828,L_QUKE2C_6W,L,QUKE,2,W,C,6,0.001171244,1,
906,L_RHCA3C_6T,L,RHCA,3,T,C,6,0.001108084,1,
595,L_ACMA2C_1W,L,ACMA,2,W,C,1,0.001093687,1,
1014,L_VAOV3C_6T,L,VAOV,3,T,C,6,0.001092758,1,
1012,L_VAOV3C_4T,L,VAOV,3,T,C,4,0.000998019,1,
769,L_QUCH1C_1T,L,QUCH,1,T,C,1,0.000978049,1,
904,L_RHCA3C_4T,L,RHCA,3,T,C,4,0.000837797,1,
1020,L_VAOV3C_6W,L,VAOV,3,W,C,6,0.000810861,1,
888,L_RHCA1C_6W,L,RHCA,1,W,C,6,0.000758383,1,
864,L_QUPA2C_6W,L,QUPA,2,W,C,6,0.000749559,1,
884,L_RHCA1C_2W,L,RHCA,1,W,C,2,0.000697081,1,
992,L_VAOV1C_2W,L,VAOV,1,W,C,2,0.000689186,1,
824,L_QUKE2C_2W,L,QUKE,2,W,C,2,0.000647853,1,
825,L_QUKE2C_3W,L,QUKE,2,W,C,3,0.000621382,1,
901,L_RHCA3C_1T,L,RHCA,3,T,C,1,0.000593053,1,
900,L_RHCA2C_6W,L,RHCA,2,W,C,6,0.000589802,1,
895,L_RHCA2C_1W,L,RHCA,2,W,C,1,0.000510852,1,
886,L_RHCA1C_4W,L,RHCA,1,W,C,4,0.000450014,1,
883,L_RHCA1C_1W,L,RHCA,1,W,C,1,0.000446763,1,
1018,L_VAOV3C_4W,L,VAOV,3,W,C,4,0.000442583,1,
902,L_RHCA3C_2T,L,RHCA,3,T,C,2,0.000413326,1,
897,L_RHCA2C_3W,L,RHCA,2,W,C,3,0.000409146,1,
837,L_QUKE3C_3W,L,QUKE,3,W,C,3,0.000406359,1,
887,L_RHCA1C_5W,L,RHCA,1,W,C,5,0.000398,1,
693,L_HEAR3C_3W,L,HEAR,3,W,C,3,0.000391963,1,
790,L_QUCH2C_4W,L,QUCH,2,W,C,4,0.000345986,1,
991,L_VAOV1C_1W,L,VAOV,1,W,C,1,0.000322301,1,
885,L_RHCA1C_3W,L,RHCA,1,W,C,3,0.000318121,1,
898,L_RHCA2C_4W,L,RHCA,2,W,C,4,0.000286541,1,
694,L_HEAR3C_4W,L,HEAR,3,W,C,4,0.000285613,1,
899,L_RHCA2C_5W,L,RHCA,2,W,C,5,0.000285613,1,
944,L_TODI3C_2W,L,TODI,3,W,C,2,0.000263321,1,
667,L_HEAR1C_1W,L,HEAR,1,W,C,1,0.000238243,1,
905,L_RHCA3C_5T,L,RHCA,3,T,C,5,0.000216415,1,
1019,L_VAOV3C_5W,L,VAOV,3,W,C,5,0.000215487,1,
943,L_TODI3C_1W,L,TODI,3,W,C,1,0.000206663,1,
932,L_TODI2C_2W,L,TODI,2,W,C,2,0.000184835,1,
934,L_TODI2C_4W,L,TODI,2,W,C,4,0.000178798,1,
774,L_QUCH1C_6T,L,QUCH,1,T,C,6,0.00017694,1,
692,L_HEAR3C_2W,L,HEAR,3,W,C,2,0.000174618,1,
945,L_TODI3C_3W,L,TODI,3,W,C,3,0.000141645,1,
896,L_RHCA2C_2W,L,RHCA,2,W,C,2,0.000135608,1,
789,L_QUCH2C_3W,L,QUCH,2,W,C,3,0.000131893,1,
729,L_LIDE3C_3W,L,LIDE,3,W,C,3,0.000118425,1,
775,L_QUCH1C_1W,L,QUCH,1,W,C,1,0.000116103,1,
935,L_TODI2C_5W,L,TODI,2,W,C,5,0.000109601,1,
862,L_QUPA2C_4W,L,QUPA,2,W,C,4,0.000105421,1,
776,L_QUCH1C_2W,L,QUCH,1,W,C,2,0.000102635,1,
771,L_QUCH1C_3T,L,QUCH,1,T,C,3,9.57E-05,1,
720,L_LIDE2C_6W,L,LIDE,2,W,C,6,8.87E-05,1,
691,L_HEAR3C_1W,L,HEAR,3,W,C,1,8.68E-05,1,
772,L_QUCH1C_4T,L,QUCH,1,T,C,4,8.64E-05,1,
811,L_QUKE1C_1W,L,QUKE,1,W,C,1,8.59E-05,1,
669,L_HEAR1C_3W,L,HEAR,1,W,C,3,8.55E-05,1,
783,L_QUCH2C_3T,L,QUCH,2,T,C,3,8.08E-05,1,
672,L_HEAR1C_6W,L,HEAR,1,W,C,6,7.94E-05,1,
778,L_QUCH1C_4W,L,QUCH,1,W,C,4,7.29E-05,1,
784,L_QUCH2C_4T,L,QUCH,2,T,C,4,7.11E-05,1,
799,L_QUCH3C_1W,L,QUCH,3,W,C,1,6.69E-05,1,
585,L_ACMA1C_3W,L,ACMA,1,W,C,3,6.64E-05,1,
727,L_LIDE3C_1W,L,LIDE,3,W,C,1,6.41E-05,1,
623,L_ARME1C_5W,L,ARME,1,W,C,5,6.32E-05,1,
931,L_TODI2C_1W,L,TODI,2,W,C,1,5.99E-05,1,
707,L_LIDE1C_5W,L,LIDE,1,W,C,5,5.94E-05,1,
919,L_TODI1C_1W,L,TODI,1,W,C,1,5.90E-05,1,
730,L_LIDE3C_4W,L,LIDE,3,W,C,4,5.43E-05,1,
777,L_QUCH1C_3W,L,QUCH,1,W,C,3,5.39E-05,1,
679,L_HEAR2C_1W,L,HEAR,2,W,C,1,5.29E-05,1,
793,L_QUCH3C_1T,L,QUCH,3,T,C,1,5.29E-05,1,
634,L_ARME2C_4W,L,ARME,2,W,C,4,5.02E-05,1,
814,L_QUKE1C_4W,L,QUKE,1,W,C,4,4.88E-05,1,
792,L_QUCH2C_6W,L,QUCH,2,W,C,6,4.64E-05,1,
671,L_HEAR1C_5W,L,HEAR,1,W,C,5,4.37E-05,1,
921,L_TODI1C_3W,L,TODI,1,W,C,3,4.23E-05,1,
803,L_QUCH3C_5W,L,QUCH,3,W,C,5,3.95E-05,1,
800,L_QUCH3C_2W,L,QUCH,3,W,C,2,3.90E-05,1,
996,L_VAOV1C_6W,L,VAOV,1,W,C,6,3.81E-05,1,
624,L_ARME1C_6W,L,ARME,1,W,C,6,3.76E-05,1,
680,L_HEAR2C_2W,L,HEAR,2,W,C,2,3.76E-05,1,
780,L_QUCH1C_6W,L,QUCH,1,W,C,6,3.72E-05,1,
924,L_TODI1C_6W,L,TODI,1,W,C,6,3.30E-05,1,
584,L_ACMA1C_2W,L,ACMA,1,W,C,2,3.20E-05,1,
779,L_QUCH1C_5W,L,QUCH,1,W,C,5,3.11E-05,1,
706,L_LIDE1C_4W,L,LIDE,1,W,C,4,3.07E-05,1,
708,L_LIDE1C_6W,L,LIDE,1,W,C,6,3.07E-05,1,
684,L_HEAR2C_6W,L,HEAR,2,W,C,6,3.02E-05,1,
903,L_RHCA3C_3T,L,RHCA,3,T,C,3,2.74E-05,1,
622,L_ARME1C_4W,L,ARME,1,W,C,4,2.69E-05,1,
946,L_TODI3C_4W,L,TODI,3,W,C,4,2.69E-05,1,
588,L_ACMA1C_6W,L,ACMA,1,W,C,6,2.65E-05,1,
813,L_QUKE1C_3W,L,QUKE,1,W,C,3,2.14E-05,1,
632,L_ARME2C_2W,L,ARME,2,W,C,2,2.09E-05,1,
583,L_ACMA1C_1W,L,ACMA,1,W,C,1,2.04E-05,1,
797,L_QUCH3C_5T,L,QUCH,3,T,C,5,1.86E-05,1,
631,L_ARME2C_1W,L,ARME,2,W,C,1,1.67E-05,1,
719,L_LIDE2C_5W,L,LIDE,2,W,C,5,1.67E-05,1,
619,L_ARME1C_1W,L,ARME,1,W,C,1,1.63E-05,1,
633,L_ARME2C_3W,L,ARME,2,W,C,3,1.21E-05,1,
586,L_ACMA1C_4W,L,ACMA,1,W,C,4,1.16E-05,1,
635,L_ARME2C_5W,L,ARME,2,W,C,5,1.07E-05,1,
607,L_ACMA3C_1W,L,ACMA,3,W,C,1,0,1,
596,L_ACMA2C_2W,L,ACMA,2,W,C,2,0,1,
608,L_ACMA3C_2W,L,ACMA,3,W,C,2,0,1,
597,L_ACMA2C_3W,L,ACMA,2,W,C,3,0,1,
609,L_ACMA3C_3W,L,ACMA,3,W,C,3,0,1,
598,L_ACMA2C_4W,L,ACMA,2,W,C,4,0,1,
610,L_ACMA3C_4W,L,ACMA,3,W,C,4,0,1,
587,L_ACMA1C_5W,L,ACMA,1,W,C,5,0,1,
599,L_ACMA2C_5W,L,ACMA,2,W,C,5,0,1,
611,L_ACMA3C_5W,L,ACMA,3,W,C,5,0,1,
600,L_ACMA2C_6W,L,ACMA,2,W,C,6,0,1,
612,L_ACMA3C_6W,L,ACMA,3,W,C,6,0,1,
620,L_ARME1C_2W,L,ARME,1,W,C,2,0,1,
636,L_ARME2C_6W,L,ARME,2,W,C,6,0,1,
649,L_CEOL1C_1T,L,CEOL,1,T,C,1,0,1,
650,L_CEOL1C_2T,L,CEOL,1,T,C,2,0,1,
651,L_CEOL1C_3T,L,CEOL,1,T,C,3,0,1,
652,L_CEOL1C_4T,L,CEOL,1,T,C,4,0,1,
653,L_CEOL1C_5T,L,CEOL,1,T,C,5,0,1,
654,L_CEOL1C_6T,L,CEOL,1,T,C,6,0,1,
655,L_CEOL1C_1W,L,CEOL,1,W,C,1,0,1,
656,L_CEOL1C_2W,L,CEOL,1,W,C,2,0,1,
657,L_CEOL1C_3W,L,CEOL,1,W,C,3,0,1,
658,L_CEOL1C_4W,L,CEOL,1,W,C,4,0,1,
659,L_CEOL1C_5W,L,CEOL,1,W,C,5,0,1,
660,L_CEOL1C_6W,L,CEOL,1,W,C,6,0,1,
668,L_HEAR1C_2W,L,HEAR,1,W,C,2,0,1,
681,L_HEAR2C_3W,L,HEAR,2,W,C,3,0,1,
670,L_HEAR1C_4W,L,HEAR,1,W,C,4,0,1,
682,L_HEAR2C_4W,L,HEAR,2,W,C,4,0,1,
683,L_HEAR2C_5W,L,HEAR,2,W,C,5,0,1,
696,L_HEAR3C_6W,L,HEAR,3,W,C,6,0,1,
703,L_LIDE1C_1W,L,LIDE,1,W,C,1,0,1,
715,L_LIDE2C_1W,L,LIDE,2,W,C,1,0,1,
704,L_LIDE1C_2W,L,LIDE,1,W,C,2,0,1,
716,L_LIDE2C_2W,L,LIDE,2,W,C,2,0,1,
728,L_LIDE3C_2W,L,LIDE,3,W,C,2,0,1,
705,L_LIDE1C_3W,L,LIDE,1,W,C,3,0,1,
717,L_LIDE2C_3W,L,LIDE,2,W,C,3,0,1,
718,L_LIDE2C_4W,L,LIDE,2,W,C,4,0,1,
731,L_LIDE3C_5W,L,LIDE,3,W,C,5,0,1,
732,L_LIDE3C_6W,L,LIDE,3,W,C,6,0,1,
733,L_QUAG1C_1T,L,QUAG,1,T,C,1,0,1,
757,L_QUAG3C_1T,L,QUAG,3,T,C,1,0,1,
734,L_QUAG1C_2T,L,QUAG,1,T,C,2,0,1,
758,L_QUAG3C_2T,L,QUAG,3,T,C,2,0,1,
735,L_QUAG1C_3T,L,QUAG,1,T,C,3,0,1,
736,L_QUAG1C_4T,L,QUAG,1,T,C,4,0,1,
737,L_QUAG1C_5T,L,QUAG,1,T,C,5,0,1,
738,L_QUAG1C_6T,L,QUAG,1,T,C,6,0,1,
739,L_QUAG1C_1W,L,QUAG,1,W,C,1,0,1,
751,L_QUAG2C_1W,L,QUAG,2,W,C,1,0,1,
763,L_QUAG3C_1W,L,QUAG,3,W,C,1,0,1,
740,L_QUAG1C_2W,L,QUAG,1,W,C,2,0,1,
764,L_QUAG3C_2W,L,QUAG,3,W,C,2,0,1,
741,L_QUAG1C_3W,L,QUAG,1,W,C,3,0,1,
753,L_QUAG2C_3W,L,QUAG,2,W,C,3,0,1,
765,L_QUAG3C_3W,L,QUAG,3,W,C,3,0,1,
742,L_QUAG1C_4W,L,QUAG,1,W,C,4,0,1,
754,L_QUAG2C_4W,L,QUAG,2,W,C,4,0,1,
766,L_QUAG3C_4W,L,QUAG,3,W,C,4,0,1,
743,L_QUAG1C_5W,L,QUAG,1,W,C,5,0,1,
767,L_QUAG3C_5W,L,QUAG,3,W,C,5,0,1,
744,L_QUAG1C_6W,L,QUAG,1,W,C,6,0,1,
768,L_QUAG3C_6W,L,QUAG,3,W,C,6,0,1,
