No,code,assay,species,ind,trt,spore,leaf,rep,tubes,notes
46,L_ARME1S_4W,L,ARME,1,W,S,4,4,.2 ml,
47,L_ARME1S_5W,L,ARME,1,W,S,5,5,.2 ml,
48,L_ARME1S_6W,L,ARME,1,W,S,6,6,.2 ml,
49,L_ARME2S_1T,L,ARME,2,T,S,1,1,.2 ml,
50,L_ARME2S_2T,L,ARME,2,T,S,2,2,.2 ml,
51,L_ARME2S_3T,L,ARME,2,T,S,3,3,.2 ml,
52,L_ARME2S_4T,L,ARME,2,T,S,4,4,.2 ml,
53,L_ARME2S_5T,L,ARME,2,T,S,5,5,.2 ml,
54,L_ARME2S_6T,L,ARME,2,T,S,6,6,.2 ml,
55,L_ARME2S_1W,L,ARME,2,W,S,1,1,.2 ml,
56,L_ARME2S_2W,L,ARME,2,W,S,2,2,.2 ml,
57,L_ARME2S_3W,L,ARME,2,W,S,3,3,.2 ml,
58,L_ARME2S_4W,L,ARME,2,W,S,4,4,.2 ml,
59,L_ARME2S_5W,L,ARME,2,W,S,5,5,.2 ml,
60,L_ARME2S_6W,L,ARME,2,W,S,6,6,.2 ml,
61,L_ARME3S_1T,L,ARME,3,T,S,1,1,.2 ml,
62,L_ARME3S_2T,L,ARME,3,T,S,2,2,.2 ml,
63,L_ARME3S_3T,L,ARME,3,T,S,3,3,.2 ml,
64,L_ARME3S_4T,L,ARME,3,T,S,4,4,.2 ml,
65,L_ARME3S_5T,L,ARME,3,T,S,5,5,.2 ml,
66,L_ARME3S_6T,L,ARME,3,T,S,6,6,.2 ml,
67,L_ARME3S_1W,L,ARME,3,W,S,1,1,.2 ml,
68,L_ARME3S_2W,L,ARME,3,W,S,2,2,.2 ml,
69,L_ARME3S_3W,L,ARME,3,W,S,3,3,.2 ml,
70,L_ARME3S_4W,L,ARME,3,W,S,4,4,.2 ml,
71,L_ARME3S_5W,L,ARME,3,W,S,5,5,.2 ml,
72,L_ARME3S_6W,L,ARME,3,W,S,6,6,.2 ml,
73,L_CEOL1S_1T,L,CEOL,1,T,S,1,1,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
74,L_CEOL1S_2T,L,CEOL,1,T,S,2,2,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
75,L_CEOL1S_3T,L,CEOL,1,T,S,3,3,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
76,L_CEOL1S_4T,L,CEOL,1,T,S,4,4,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
77,L_CEOL1S_5T,L,CEOL,1,T,S,5,5,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
78,L_CEOL1S_6T,L,CEOL,1,T,S,6,6,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
79,L_CEOL1S_1W,L,CEOL,1,W,S,7,1,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
80,L_CEOL1S_2W,L,CEOL,1,W,S,8,2,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
81,L_CEOL1S_3W,L,CEOL,1,W,S,9,3,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
82,L_CEOL1S_4W,L,CEOL,1,W,S,10,4,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
83,L_CEOL1S_5W,L,CEOL,1,W,S,11,5,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
84,L_CEOL1S_6W,L,CEOL,1,W,S,12,6,.2 ml,1 disc cut per leaf. Pairs between S and C.Only 1 individual
85,L_HEAR1S_1T,L,HEAR,1,T,S,1,1,.2 ml,
86,L_HEAR1S_2T,L,HEAR,1,T,S,2,2,.2 ml,
87,L_HEAR1S_3T,L,HEAR,1,T,S,3,3,.2 ml,
88,L_HEAR1S_4T,L,HEAR,1,T,S,4,4,.2 ml,
89,L_HEAR1S_5T,L,HEAR,1,T,S,5,5,.2 ml,
90,L_HEAR1S_6T,L,HEAR,1,T,S,6,6,.2 ml,
91,L_HEAR1S_1W,L,HEAR,1,W,S,1,1,.2 ml,
92,L_HEAR1S_2W,L,HEAR,1,W,S,2,2,.2 ml,
93,L_HEAR1S_3W,L,HEAR,1,W,S,3,3,.2 ml,
94,L_HEAR1S_4W,L,HEAR,1,W,S,4,4,.2 ml,
95,L_HEAR1S_5W,L,HEAR,1,W,S,5,5,.2 ml,
96,L_HEAR1S_6W,L,HEAR,1,W,S,6,6,.2 ml,
97,L_HEAR2S_1T,L,HEAR,2,T,S,1,1,.2 ml,
98,L_HEAR2S_2T,L,HEAR,2,T,S,2,2,.2 ml,
99,L_HEAR2S_3T,L,HEAR,2,T,S,3,3,.2 ml,
100,L_HEAR2S_4T,L,HEAR,2,T,S,4,4,.2 ml,
101,L_HEAR2S_5T,L,HEAR,2,T,S,5,5,.2 ml,
102,L_HEAR2S_6T,L,HEAR,2,T,S,6,6,.2 ml,
103,L_HEAR2S_1W,L,HEAR,2,W,S,1,1,.2 ml,
104,L_HEAR2S_2W,L,HEAR,2,W,S,2,2,.2 ml,
105,L_HEAR2S_3W,L,HEAR,2,W,S,3,3,.2 ml,
106,L_HEAR2S_4W,L,HEAR,2,W,S,4,4,.2 ml,
107,L_HEAR2S_5W,L,HEAR,2,W,S,5,5,.2 ml,
108,L_HEAR2S_6W,L,HEAR,2,W,S,6,6,.2 ml,
109,L_HEAR3S_1T,L,HEAR,3,T,S,1,1,.2 ml,
110,L_HEAR3S_2T,L,HEAR,3,T,S,2,2,.2 ml,
111,L_HEAR3S_3T,L,HEAR,3,T,S,3,3,.2 ml,
112,L_HEAR3S_4T,L,HEAR,3,T,S,4,4,.2 ml,
113,L_HEAR3S_5T,L,HEAR,3,T,S,5,5,.2 ml,
114,L_HEAR3S_6T,L,HEAR,3,T,S,6,6,.2 ml,
115,L_HEAR3S_1W,L,HEAR,3,W,S,1,1,.2 ml,
116,L_HEAR3S_2W,L,HEAR,3,W,S,2,2,.2 ml,
117,L_HEAR3S_3W,L,HEAR,3,W,S,3,3,.2 ml,
118,L_HEAR3S_4W,L,HEAR,3,W,S,4,4,.2 ml,
119,L_HEAR3S_5W,L,HEAR,3,W,S,5,5,.2 ml,
120,L_HEAR3S_6W,L,HEAR,3,W,S,6,6,.2 ml,
121,L_LIDE1S_1T,L,LIDE,1,T,S,1,1,.2 ml,
122,L_LIDE1S_2T,L,LIDE,1,T,S,2,2,.2 ml,
123,L_LIDE1S_3T,L,LIDE,1,T,S,3,3,.2 ml,
124,L_LIDE1S_4T,L,LIDE,1,T,S,4,4,.2 ml,
125,L_LIDE1S_5T,L,LIDE,1,T,S,5,5,.2 ml,
126,L_LIDE1S_6T,L,LIDE,1,T,S,6,6,.2 ml,
127,L_LIDE1S_1W,L,LIDE,1,W,S,1,1,.2 ml,
128,L_LIDE1S_2W,L,LIDE,1,W,S,2,2,.2 ml,
129,L_LIDE1S_3W,L,LIDE,1,W,S,3,3,.2 ml,
130,L_LIDE1S_4W,L,LIDE,1,W,S,4,4,.2 ml,
131,L_LIDE1S_5W,L,LIDE,1,W,S,5,5,.2 ml,
132,L_LIDE1S_6W,L,LIDE,1,W,S,6,6,.2 ml,
133,L_LIDE2S_1T,L,LIDE,2,T,S,1,1,.2 ml,
134,L_LIDE2S_2T,L,LIDE,2,T,S,2,2,.2 ml,
135,L_LIDE2S_3T,L,LIDE,2,T,S,3,3,.2 ml,
136,L_LIDE2S_4T,L,LIDE,2,T,S,4,4,.2 ml,
137,L_LIDE2S_5T,L,LIDE,2,T,S,5,5,.2 ml,
138,L_LIDE2S_6T,L,LIDE,2,T,S,6,6,.2 ml,
139,L_LIDE2S_1W,L,LIDE,2,W,S,1,1,.2 ml,
140,L_LIDE2S_2W,L,LIDE,2,W,S,2,2,.2 ml,
141,L_LIDE2S_3W,L,LIDE,2,W,S,3,3,.2 ml,
142,L_LIDE2S_4W,L,LIDE,2,W,S,4,4,.2 ml,
143,L_LIDE2S_5W,L,LIDE,2,W,S,5,5,.2 ml,
144,L_LIDE2S_6W,L,LIDE,2,W,S,6,6,.2 ml,
145,L_LIDE3S_1T,L,LIDE,3,T,S,1,1,.2 ml,
146,L_LIDE3S_2T,L,LIDE,3,T,S,2,2,.2 ml,
147,L_LIDE3S_3T,L,LIDE,3,T,S,3,3,.2 ml,
148,L_LIDE3S_4T,L,LIDE,3,T,S,4,4,.2 ml,
149,L_LIDE3S_5T,L,LIDE,3,T,S,5,5,.2 ml,
150,L_LIDE3S_6T,L,LIDE,3,T,S,6,6,.2 ml,
151,L_LIDE3S_1W,L,LIDE,3,W,S,1,1,.2 ml,
152,L_LIDE3S_2W,L,LIDE,3,W,S,2,2,.2 ml,
153,L_LIDE3S_3W,L,LIDE,3,W,S,3,3,.2 ml,
154,L_LIDE3S_4W,L,LIDE,3,W,S,4,4,.2 ml,
155,L_LIDE3S_5W,L,LIDE,3,W,S,5,5,.2 ml,
156,L_LIDE3S_6W,L,LIDE,3,W,S,6,6,.2 ml,
157,L_QUAG1S_1T,L,QUAG,1,T,S,1,1,.2 ml,
158,L_QUAG1S_2T,L,QUAG,1,T,S,2,2,.2 ml,
159,L_QUAG1S_3T,L,QUAG,1,T,S,3,3,.2 ml,
160,L_QUAG1S_4T,L,QUAG,1,T,S,4,4,.2 ml,
161,L_QUAG1S_5T,L,QUAG,1,T,S,5,5,.2 ml,
162,L_QUAG1S_6T,L,QUAG,1,T,S,6,6,.2 ml,
163,L_QUAG1S_1W,L,QUAG,1,W,S,1,1,.2 ml,
164,L_QUAG1S_2W,L,QUAG,1,W,S,2,2,.2 ml,
165,L_QUAG1S_3W,L,QUAG,1,W,S,3,3,.2 ml,
166,L_QUAG1S_4W,L,QUAG,1,W,S,4,4,.2 ml,
167,L_QUAG1S_5W,L,QUAG,1,W,S,5,5,.2 ml,
168,L_QUAG1S_6W,L,QUAG,1,W,S,6,6,.2 ml,
169,L_QUAG2S_1T,L,QUAG,2,T,S,1,1,.2 ml,
170,L_QUAG2S_2T,L,QUAG,2,T,S,2,2,.2 ml,
171,L_QUAG2S_3T,L,QUAG,2,T,S,3,3,.2 ml,
172,L_QUAG2S_4T,L,QUAG,2,T,S,4,4,.2 ml,
173,L_QUAG2S_5T,L,QUAG,2,T,S,5,5,.2 ml,
174,L_QUAG2S_6T,L,QUAG,2,T,S,6,6,.2 ml,
175,L_QUAG2S_1W,L,QUAG,2,W,S,1,1,.2 ml,175-176 mixed :(
176,L_QUAG2S_2W,L,QUAG,2,W,S,2,2,.2 ml,175-176 mixed :(
177,L_QUAG2S_3W,L,QUAG,2,W,S,3,3,.2 ml,
178,L_QUAG2S_4W,L,QUAG,2,W,S,4,4,.2 ml,
179,L_QUAG2S_5W,L,QUAG,2,W,S,5,5,.2 ml,
180,L_QUAG2S_6W,L,QUAG,2,W,S,6,6,.2 ml,
181,L_QUAG3S_1T,L,QUAG,3,T,S,1,1,.2 ml,
182,L_QUAG3S_2T,L,QUAG,3,T,S,2,2,.2 ml,
183,L_QUAG3S_3T,L,QUAG,3,T,S,3,3,.2 ml,
184,L_QUAG3S_4T,L,QUAG,3,T,S,4,4,.2 ml,
185,L_QUAG3S_5T,L,QUAG,3,T,S,5,5,.2 ml,
186,L_QUAG3S_6T,L,QUAG,3,T,S,6,6,.2 ml,
187,L_QUAG3S_1W,L,QUAG,3,W,S,1,1,.2 ml,
188,L_QUAG3S_2W,L,QUAG,3,W,S,2,2,.2 ml,
189,L_QUAG3S_3W,L,QUAG,3,W,S,3,3,.2 ml,
190,L_QUAG3S_4W,L,QUAG,3,W,S,4,4,.2 ml,
191,L_QUAG3S_5W,L,QUAG,3,W,S,5,5,.2 ml,
192,L_QUAG3S_6W,L,QUAG,3,W,S,6,6,.2 ml,
193,L_QUCH1S_1T,L,QUCH,1,T,S,1,1,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
194,L_QUCH1S_2T,L,QUCH,1,T,S,2,2,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
195,L_QUCH1S_3T,L,QUCH,1,T,S,3,3,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
196,L_QUCH1S_4T,L,QUCH,1,T,S,4,4,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
197,L_QUCH1S_5T,L,QUCH,1,T,S,5,5,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
198,L_QUCH1S_6T,L,QUCH,1,T,S,6,6,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
199,L_QUCH1S_1W,L,QUCH,1,W,S,1,1,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
200,L_QUCH1S_2W,L,QUCH,1,W,S,2,2,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
201,L_QUCH1S_3W,L,QUCH,1,W,S,3,3,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
202,L_QUCH1S_4W,L,QUCH,1,W,S,4,4,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
203,L_QUCH1S_5W,L,QUCH,1,W,S,5,5,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
204,L_QUCH1S_6W,L,QUCH,1,W,S,6,6,.2 ml,took 2 leaf discs/leaf. pairs between sp+ch
205,L_QUCH2S_1T,L,QUCH,2,T,S,1,1,.2 ml,
206,L_QUCH2S_2T,L,QUCH,2,T,S,2,2,.2 ml,
207,L_QUCH2S_3T,L,QUCH,2,T,S,3,3,.2 ml,
208,L_QUCH2S_4T,L,QUCH,2,T,S,4,4,.2 ml,
209,L_QUCH2S_5T,L,QUCH,2,T,S,5,5,.2 ml,
210,L_QUCH2S_6T,L,QUCH,2,T,S,6,6,.2 ml,
211,L_QUCH2S_1W,L,QUCH,2,W,S,1,1,.2 ml,
212,L_QUCH2S_2W,L,QUCH,2,W,S,2,2,.2 ml,
213,L_QUCH2S_3W,L,QUCH,2,W,S,3,3,.2 ml,
214,L_QUCH2S_4W,L,QUCH,2,W,S,4,4,.2 ml,
215,L_QUCH2S_5W,L,QUCH,2,W,S,5,5,.2 ml,
216,L_QUCH2S_6W,L,QUCH,2,W,S,6,6,.2 ml,
217,L_QUCH3S_1T,L,QUCH,3,T,S,1,1,.2 ml,
218,L_QUCH3S_2T,L,QUCH,3,T,S,2,2,.2 ml,
219,L_QUCH3S_3T,L,QUCH,3,T,S,3,3,.2 ml,
220,L_QUCH3S_4T,L,QUCH,3,T,S,4,4,.2 ml,
221,L_QUCH3S_5T,L,QUCH,3,T,S,5,5,.2 ml,
222,L_QUCH3S_6T,L,QUCH,3,T,S,6,6,.2 ml,
223,L_QUCH3S_1W,L,QUCH,3,W,S,1,1,.2 ml,
224,L_QUCH3S_2W,L,QUCH,3,W,S,2,2,.2 ml,
225,L_QUCH3S_3W,L,QUCH,3,W,S,3,3,.2 ml,
226,L_QUCH3S_4W,L,QUCH,3,W,S,4,4,.2 ml,
227,L_QUCH3S_5W,L,QUCH,3,W,S,5,5,.2 ml,
228,L_QUCH3S_6W,L,QUCH,3,W,S,6,6,.2 ml,
229,L_QUKE1S_1T,L,QUKE,1,T,S,1,1,.2 ml,
230,L_QUKE1S_2T,L,QUKE,1,T,S,2,2,.2 ml,
231,L_QUKE1S_3T,L,QUKE,1,T,S,3,3,.2 ml,
232,L_QUKE1S_4T,L,QUKE,1,T,S,4,4,.2 ml,
233,L_QUKE1S_5T,L,QUKE,1,T,S,5,5,.2 ml,
234,L_QUKE1S_6T,L,QUKE,1,T,S,6,6,.2 ml,
235,L_QUKE1S_1W,L,QUKE,1,W,S,1,1,.2 ml,
236,L_QUKE1S_2W,L,QUKE,1,W,S,2,2,.2 ml,
237,L_QUKE1S_3W,L,QUKE,1,W,S,3,3,.2 ml,
238,L_QUKE1S_4W,L,QUKE,1,W,S,4,4,.2 ml,
239,L_QUKE1S_5W,L,QUKE,1,W,S,5,5,.2 ml,
240,L_QUKE1S_6W,L,QUKE,1,W,S,6,6,.2 ml,
241,L_QUKE2S_1T,L,QUKE,2,T,S,1,1,.2 ml,
242,L_QUKE2S_2T,L,QUKE,2,T,S,2,2,.2 ml,
243,L_QUKE2S_3T,L,QUKE,2,T,S,3,3,.2 ml,
244,L_QUKE2S_4T,L,QUKE,2,T,S,4,4,.2 ml,
245,L_QUKE2S_5T,L,QUKE,2,T,S,5,5,.2 ml,
246,L_QUKE2S_6T,L,QUKE,2,T,S,6,6,.2 ml,
247,L_QUKE2S_1W,L,QUKE,2,W,S,1,1,.2 ml,
248,L_QUKE2S_2W,L,QUKE,2,W,S,2,2,.2 ml,
249,L_QUKE2S_3W,L,QUKE,2,W,S,3,3,.2 ml,
250,L_QUKE2S_4W,L,QUKE,2,W,S,4,4,.2 ml,
251,L_QUKE2S_5W,L,QUKE,2,W,S,5,5,.2 ml,
252,L_QUKE2S_6W,L,QUKE,2,W,S,6,6,.2 ml,
253,L_QUKE3S_1T,L,QUKE,3,T,S,1,1,.2 ml,
254,L_QUKE3S_2T,L,QUKE,3,T,S,2,2,.2 ml,
255,L_QUKE3S_3T,L,QUKE,3,T,S,3,3,.2 ml,
256,L_QUKE3S_4T,L,QUKE,3,T,S,4,4,.2 ml,
257,L_QUKE3S_5T,L,QUKE,3,T,S,5,5,.2 ml,
258,L_QUKE3S_6T,L,QUKE,3,T,S,6,6,.2 ml,
259,L_QUKE3S_1W,L,QUKE,3,W,S,1,1,.2 ml,
260,L_QUKE3S_2W,L,QUKE,3,W,S,2,2,.2 ml,
261,L_QUKE3S_3W,L,QUKE,3,W,S,3,3,.2 ml,
262,L_QUKE3S_4W,L,QUKE,3,W,S,4,4,.2 ml,
263,L_QUKE3S_5W,L,QUKE,3,W,S,5,5,.2 ml,
264,L_QUKE3S_6W,L,QUKE,3,W,S,6,6,.2 ml,
265,L_QUPA1S_1T,L,QUPA,1,T,S,1,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
266,L_QUPA1S_2T,L,QUPA,1,T,S,2,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
267,L_QUPA1S_3T,L,QUPA,1,T,S,3,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
268,L_QUPA1S_4T,L,QUPA,1,T,S,4,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
269,L_QUPA1S_5T,L,QUPA,1,T,S,5,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
270,L_QUPA1S_6T,L,QUPA,1,T,S,6,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
271,L_QUPA1S_1W,L,QUPA,1,W,S,7,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
272,L_QUPA1S_2W,L,QUPA,1,W,S,8,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
273,L_QUPA1S_3W,L,QUPA,1,W,S,9,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
274,L_QUPA1S_4W,L,QUPA,1,W,S,10,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
275,L_QUPA1S_5W,L,QUPA,1,W,S,11,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
276,L_QUPA1S_6W,L,QUPA,1,W,S,12,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
277,L_QUPA2S_1T,L,QUPA,2,T,S,1,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
278,L_QUPA2S_2T,L,QUPA,2,T,S,2,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
279,L_QUPA2S_3T,L,QUPA,2,T,S,3,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
280,L_QUPA2S_4T,L,QUPA,2,T,S,4,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
281,L_QUPA2S_5T,L,QUPA,2,T,S,5,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
282,L_QUPA2S_6T,L,QUPA,2,T,S,6,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
283,L_QUPA2S_1W,L,QUPA,2,W,S,7,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
284,L_QUPA2S_2W,L,QUPA,2,W,S,8,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
285,L_QUPA2S_3W,L,QUPA,2,W,S,9,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
286,L_QUPA2S_4W,L,QUPA,2,W,S,10,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
287,L_QUPA2S_5W,L,QUPA,2,W,S,11,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
288,L_QUPA2S_6W,L,QUPA,2,W,S,12,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
289,L_QUPA3S_1T,L,QUPA,3,T,S,1,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
290,L_QUPA3S_2T,L,QUPA,3,T,S,2,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
291,L_QUPA3S_3T,L,QUPA,3,T,S,3,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
292,L_QUPA3S_4T,L,QUPA,3,T,S,4,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
293,L_QUPA3S_5T,L,QUPA,3,T,S,5,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
294,L_QUPA3S_6T,L,QUPA,3,T,S,6,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
295,L_QUPA3S_1W,L,QUPA,3,W,S,7,1,.2 ml,4 discs cut per leaf. Pairs between S and C.
296,L_QUPA3S_2W,L,QUPA,3,W,S,8,2,.2 ml,4 discs cut per leaf. Pairs between S and C.
297,L_QUPA3S_3W,L,QUPA,3,W,S,9,3,.2 ml,4 discs cut per leaf. Pairs between S and C.
298,L_QUPA3S_4W,L,QUPA,3,W,S,10,4,.2 ml,4 discs cut per leaf. Pairs between S and C.
299,L_QUPA3S_5W,L,QUPA,3,W,S,11,5,.2 ml,4 discs cut per leaf. Pairs between S and C.
300,L_QUPA3S_6W,L,QUPA,3,W,S,12,6,.2 ml,4 discs cut per leaf. Pairs between S and C.
301,L_RHCA1S_1T,L,RHCA,1,T,S,1,1,.2 ml,
302,L_RHCA1S_2T,L,RHCA,1,T,S,2,2,.2 ml,
303,L_RHCA1S_3T,L,RHCA,1,T,S,3,3,.2 ml,
304,L_RHCA1S_4T,L,RHCA,1,T,S,4,4,.2 ml,
305,L_RHCA1S_5T,L,RHCA,1,T,S,5,5,.2 ml,
306,L_RHCA1S_6T,L,RHCA,1,T,S,6,6,.2 ml,
307,L_RHCA1S_1W,L,RHCA,1,W,S,1,1,.2 ml,
308,L_RHCA1S_2W,L,RHCA,1,W,S,2,2,.2 ml,
309,L_RHCA1S_3W,L,RHCA,1,W,S,3,3,.2 ml,
310,L_RHCA1S_4W,L,RHCA,1,W,S,4,4,.2 ml,
311,L_RHCA1S_5W,L,RHCA,1,W,S,5,5,.2 ml,
312,L_RHCA1S_6W,L,RHCA,1,W,S,6,6,.2 ml,
313,L_RHCA2S_1T,L,RHCA,2,T,S,1,1,.2 ml,
314,L_RHCA2S_2T,L,RHCA,2,T,S,2,2,.2 ml,
315,L_RHCA2S_3T,L,RHCA,2,T,S,3,3,.2 ml,
316,L_RHCA2S_4T,L,RHCA,2,T,S,4,4,.2 ml,
317,L_RHCA2S_5T,L,RHCA,2,T,S,5,5,.2 ml,
318,L_RHCA2S_6T,L,RHCA,2,T,S,6,6,.2 ml,
319,L_RHCA2S_1W,L,RHCA,2,W,S,1,1,.2 ml,
320,L_RHCA2S_2W,L,RHCA,2,W,S,2,2,.2 ml,
321,L_RHCA2S_3W,L,RHCA,2,W,S,3,3,.2 ml,
322,L_RHCA2S_4W,L,RHCA,2,W,S,4,4,.2 ml,
323,L_RHCA2S_5W,L,RHCA,2,W,S,5,5,.2 ml,
324,L_RHCA2S_6W,L,RHCA,2,W,S,6,6,.2 ml,
325,L_RHCA3S_1T,L,RHCA,3,T,S,1,1,.2 ml,
326,L_RHCA3S_2T,L,RHCA,3,T,S,2,2,.2 ml,
327,L_RHCA3S_3T,L,RHCA,3,T,S,3,3,.2 ml,
328,L_RHCA3S_4T,L,RHCA,3,T,S,4,4,.2 ml,
329,L_RHCA3S_5T,L,RHCA,3,T,S,5,5,.2 ml,
330,L_RHCA3S_6T,L,RHCA,3,T,S,6,6,.2 ml,
331,L_RHCA3S_1W,L,RHCA,3,W,S,1,1,.2 ml,
332,L_RHCA3S_2W,L,RHCA,3,W,S,2,2,.2 ml,
333,L_RHCA3S_3W,L,RHCA,3,W,S,3,3,.2 ml,
