No,code,spore,count.mu,count.sd,date_counted,water,Notes_spores
131,L_LIDE1S_5W,S,0,0,19-Jul,0,
132,L_LIDE1S_6W,S,0,0,19-Jul,0,
133,L_LIDE2S_1T,S,0.15,0.1,25-Jun,1,water
134,L_LIDE2S_2T,S,0,0,25-Jun,0,
135,L_LIDE2S_3T,S,0.4,0.4,25-Jun,0,
136,L_LIDE2S_4T,S,0.2,0.35,25-Jun,0,
137,L_LIDE2S_5T,S,0.07,0.12,25-Jun,0,
138,L_LIDE2S_6T,S,0.67,0.61,25-Jun,0,
139,L_LIDE2S_1W,S,0,0,25-Jun,1,water
140,L_LIDE2S_2W,S,0,0,19-Jul,0,
141,L_LIDE2S_3W,S,0,0,19-Jul,0,
142,L_LIDE2S_4W,S,0,0,19-Jul,0,
143,L_LIDE2S_5W,S,0,0,19-Jul,0,
144,L_LIDE2S_6W,S,0,0,19-Jul,0,
145,L_LIDE3S_1T,S,0.4,0.33,25-Jun,1,water
146,L_LIDE3S_2T,S,0.53,0.12,25-Jun,0,
147,L_LIDE3S_3T,S,0.47,0.31,25-Jun,0,
148,L_LIDE3S_4T,S,0.2,0.2,25-Jun,0,
149,L_LIDE3S_5T,S,0.67,0.46,25-Jun,0,
150,L_LIDE3S_6T,S,0.4,0.2,25-Jun,0,
151,L_LIDE3S_1W,S,0,0,25-Jun,1,water
152,L_LIDE3S_2W,S,0,0,19-Jul,0,
153,L_LIDE3S_3W,S,0,0,19-Jul,0,
154,L_LIDE3S_4W,S,0,0,19-Jul,0,
155,L_LIDE3S_5W,S,0,0,19-Jul,0,
156,L_LIDE3S_6W,S,0,0,19-Jul,0,
157,L_QUAG1S_1T,S,0.5,0.42,26-Jun,1,water
158,L_QUAG1S_2T,S,0.2,0.35,26-Jun,0,
159,L_QUAG1S_3T,S,0.27,0.31,26-Jun,0,
160,L_QUAG1S_4T,S,0.8,0.35,26-Jun,0,
161,L_QUAG1S_5T,S,0.53,0.31,26-Jun,0,
162,L_QUAG1S_6T,S,0.87,0.42,26-Jun,0,
163,L_QUAG1S_1W,S,0,0,26-Jun,1,water
164,L_QUAG1S_2W,S,0,0,26-Jun,0,
165,L_QUAG1S_3W,S,0,0,26-Jun,0,
166,L_QUAG1S_4W,S,0,0,26-Jun,0,
167,L_QUAG1S_5W,S,0,0,26-Jun,0,
168,L_QUAG1S_6W,S,NA,NA,26-Jun,0,
169,L_QUAG2S_1T,S,1.45,0.3,26-Jun,1,water
170,L_QUAG2S_2T,S,0,0,26-Jun,0,
171,L_QUAG2S_3T,S,0.13,0.12,26-Jun,0,
172,L_QUAG2S_4T,S,1.2,0.35,26-Jun,0,
173,L_QUAG2S_5T,S,0,0,26-Jun,0,
174,L_QUAG2S_6T,S,0,0,26-Jun,0,
175,L_QUAG2S_1W,S,NA,NA,26-Jun,0,mixed sp. samples
176,L_QUAG2S_2W,S,NA,NA,26-Jun,0,mixed sp. samples
177,L_QUAG2S_3W,S,0,0,26-Jun,0,
178,L_QUAG2S_4W,S,0,0,26-Jun,0,
179,L_QUAG2S_5W,S,0,0,26-Jun,0,
180,L_QUAG2S_6W,S,0,0,26-Jun,0,
181,L_QUAG3S_1T,S,0.67,0.12,26-Jun,0,
182,L_QUAG3S_2T,S,0.8,1.06,26-Jun,0,
183,L_QUAG3S_3T,S,0.87,0.23,26-Jun,0,
184,L_QUAG3S_4T,S,0.73,0.76,26-Jun,0,
185,L_QUAG3S_5T,S,1.1,0.38,26-May,1,water
186,L_QUAG3S_6T,S,0.2,0.16,26-May,0,
187,L_QUAG3S_1W,S,0,0,26-Jun,1,water
188,L_QUAG3S_2W,S,0,0,26-Jun,0,
189,L_QUAG3S_3W,S,0,0,26-Jun,0,
190,L_QUAG3S_4W,S,0,0,26-Jun,0,
191,L_QUAG3S_5W,S,0,0,26-Jun,0,
192,L_QUAG3S_6W,S,0,0,26-Jun,0,
193,L_QUCH1S_1T,S,0.05,0.1,26-Jun,1,water
194,L_QUCH1S_2T,S,0.93,0.31,26-Jun,0,
195,L_QUCH1S_3T,S,0.1,0.12,26-Jun,1,water
196,L_QUCH1S_4T,S,0.27,0.12,26-Jun,0,
197,L_QUCH1S_5T,S,0.47,0.42,26-Jun,0,
198,L_QUCH1S_6T,S,0.8,0.53,26-Jun,0,
199,L_QUCH1S_1W,S,0,0,26-Jun,1,water
200,L_QUCH1S_2W,S,0,0,26-Jun,0,
201,L_QUCH1S_3W,S,0,0,26-Jun,0,
202,L_QUCH1S_4W,S,0,0,26-Jun,0,
203,L_QUCH1S_5W,S,0,0,26-Jun,0,
204,L_QUCH1S_6W,S,0,0,26-Jun,0,
205,L_QUCH2S_1T,S,0.4,0.28,25-Jun,1,water
206,L_QUCH2S_2T,S,0.33,0.23,25-Jun,0,
207,L_QUCH2S_3T,S,0.4,0.35,25-Jun,0,
208,L_QUCH2S_4T,S,0.53,0.42,25-Jun,0,
209,L_QUCH2S_5T,S,0.13,0.23,25-Jun,0,
210,L_QUCH2S_6T,S,0.2,0.16,26-Jun,1,water
211,L_QUCH2S_1W,S,0,0,19-Jul,0,
212,L_QUCH2S_2W,S,0,0,19-Jul,0,
213,L_QUCH2S_3W,S,0,0,19-Jul,0,
214,L_QUCH2S_4W,S,0,0,19-Jul,0,
215,L_QUCH2S_5W,S,0,0,19-Jul,0,
216,L_QUCH2S_6W,S,0,0,19-Jul,0,
217,L_QUCH3S_1T,S,0.2,0.2,29-Jun,0,6/29 - water
218,L_QUCH3S_2T,S,0,0,29-Jun,0,
219,L_QUCH3S_3T,S,0,0,29-Jun,0,
220,L_QUCH3S_4T,S,0.4,0.2,29-Jun,0,
221,L_QUCH3S_5T,S,0.2,0,29-Jun,0,
222,L_QUCH3S_6T,S,0.2,0.2,29-Jun,0,
223,L_QUCH3S_1W,S,0,0,26-Jun,1,water
224,L_QUCH3S_2W,S,0,0,26-Jun,0,
225,L_QUCH3S_3W,S,0,0,26-Jun,0,
226,L_QUCH3S_4W,S,0,0,26-Jun,0,
227,L_QUCH3S_5W,S,0,0,26-Jun,0,
228,L_QUCH3S_6W,S,0,0,26-Jun,0,
229,L_QUKE1S_1T,S,1.15,0.6,25-Jun,1,water
230,L_QUKE1S_2T,S,0.4,0,25-Jun,0,
231,L_QUKE1S_3T,S,1.65,0.53,25-Jun,0,
232,L_QUKE1S_4T,S,0.5,0.42,25-Jun,0,
233,L_QUKE1S_5T,S,0.25,0.1,25-Jun,0,
234,L_QUKE1S_6T,S,0.3,0.26,25-Jun,0,
235,L_QUKE1S_1W,S,0.1,0.2,25-Jun,0,"water, took pics of 2 sporangia"
236,L_QUKE1S_2W,S,0,0,20-Jul,0,
237,L_QUKE1S_3W,S,0,0,20-Jul,0,
238,L_QUKE1S_4W,S,0,0,20-Jul,0,
239,L_QUKE1S_5W,S,0,0,20-Jul,0,
240,L_QUKE1S_6W,S,0,0,20-Jul,0,
241,L_QUKE2S_1T,S,1.4,0.97,25-Jun,0,"water, took pics of 2 sporangia"
242,L_QUKE2S_2T,S,1.35,0.34,25-Jun,0,
243,L_QUKE2S_3T,S,0.25,0.19,25-Jun,0,
244,L_QUKE2S_4T,S,0.2,0.16,25-Jun,0,
245,L_QUKE2S_5T,S,0.55,0.19,25-Jun,0,
246,L_QUKE2S_6T,S,0.3,0.26,25-Jun,0,
247,L_QUKE2S_1W,S,0,0,25-Jun,0,"water, took pic"
248,L_QUKE2S_2W,S,0,0,20-Jul,0,
249,L_QUKE2S_3W,S,0,0,20-Jul,0,
250,L_QUKE2S_4W,S,0,0,20-Jul,0,
251,L_QUKE2S_5W,S,0,0,20-Jul,0,
252,L_QUKE2S_6W,S,0,0,20-Jul,0,
253,L_QUKE3S_1T,S,6.85,2.2,25-Jun,1,water
254,L_QUKE3S_2T,S,18.15,1.47,25-Jun,0,
255,L_QUKE3S_3T,S,10.4,2.59,25-Jun,0,
256,L_QUKE3S_4T,S,7.5,1.4,25-Jun,0,
257,L_QUKE3S_5T,S,0.8,0.73,25-Jun,0,
258,L_QUKE3S_6T,S,2,0.65,25-Jun,0,
259,L_QUKE3S_1W,S,0,0,25-Jun,0,
260,L_QUKE3S_2W,S,0,0,25-Jun,1,water
261,L_QUKE3S_3W,S,0,0,20-Jul,0,
262,L_QUKE3S_4W,S,0,0,20-Jul,0,
263,L_QUKE3S_5W,S,0,0,20-Jul,0,
264,L_QUKE3S_6W,S,0,0,20-Jul,0,
265,L_QUPA1S_1T,S,0.6,0.37,25-Jun,1,water
266,L_QUPA1S_2T,S,1.5,0.42,25-Jun,0,
267,L_QUPA1S_3T,S,0.7,0.5,25-Jun,0,
268,L_QUPA1S_4T,S,0.2,0,25-Jun,0,
269,L_QUPA1S_5T,S,0.9,0.82,25-Jun,0,
270,L_QUPA1S_6T,S,0.3,0.26,25-Jun,0,
271,L_QUPA1S_1W,S,0,0,25-Jun,1,water
272,L_QUPA1S_2W,S,0,0,20-Jul,0,
273,L_QUPA1S_3W,S,0,0,20-Jul,0,
274,L_QUPA1S_4W,S,0,0,20-Jul,0,
275,L_QUPA1S_5W,S,0,0,20-Jul,0,
276,L_QUPA1S_6W,S,0,0,20-Jul,0,
277,L_QUPA2S_1T,S,2.35,0.77,25-Jun,1,water
278,L_QUPA2S_2T,S,10.47,1.33,25-Jun,0,
279,L_QUPA2S_3T,S,0.65,0.53,25-Jun,0,
280,L_QUPA2S_4T,S,0.55,0.19,25-Jun,0,
281,L_QUPA2S_5T,S,1.47,0.23,25-Jun,0,
282,L_QUPA2S_6T,S,9.8,2,25-Jun,0,
283,L_QUPA2S_1W,S,0,0,25-Jun,1,water
284,L_QUPA2S_2W,S,0,0,25-Jun,0,
285,L_QUPA2S_3W,S,0,0,25-Jun,0,
286,L_QUPA2S_4W,S,0,0,25-Jun,0,
287,L_QUPA2S_5W,S,0,0,25-Jun,0,
288,L_QUPA2S_6W,S,0,0,25-Jun,0,
289,L_QUPA3S_1T,S,0.3,0.26,25-Jun,1,water
290,L_QUPA3S_2T,S,1.1,0.38,25-Jun,0,
291,L_QUPA3S_3T,S,1.1,0.48,25-Jun,0,
292,L_QUPA3S_4T,S,0.95,0.3,25-Jun,0,
293,L_QUPA3S_5T,S,0.27,0.31,25-Jun,0,
294,L_QUPA3S_6T,S,0.7,0.58,25-Jun,0,
295,L_QUPA3S_1W,S,0,0,25-Jun,1,water
296,L_QUPA3S_2W,S,0,0,25-Jun,0,
297,L_QUPA3S_3W,S,0,0,25-Jun,0,
298,L_QUPA3S_4W,S,0,0,25-Jun,0,
299,L_QUPA3S_5W,S,0,0,25-Jun,0,
300,L_QUPA3S_6W,S,0,0,25-Jun,0,
301,L_RHCA1S_1T,S,2.55,0.6,25-Jun,1,water
302,L_RHCA1S_2T,S,1.3,0.76,25-Jun,0,
303,L_RHCA1S_3T,S,5.55,0.96,25-Jun,0,
304,L_RHCA1S_4T,S,3.1,1.27,25-Jun,0,
305,L_RHCA1S_5T,S,0.27,0.12,25-Jun,0,
306,L_RHCA1S_6T,S,10.33,2.37,25-Jun,0,
307,L_RHCA1S_1W,S,0,0,25-Jun,1,water
308,L_RHCA1S_2W,S,0,0,25-Jun,0,
309,L_RHCA1S_3W,S,0,0,25-Jun,0,
310,L_RHCA1S_4W,S,0,0,25-Jun,0,
311,L_RHCA1S_5W,S,0,0,25-Jun,0,
312,L_RHCA1S_6W,S,0,0,25-Jun,0,
313,L_RHCA2S_1T,S,0.35,0.19,25-Jun,1,water
314,L_RHCA2S_2T,S,0.27,0.31,25-Jun,0,
315,L_RHCA2S_3T,S,0.47,0.42,25-Jun,0,
316,L_RHCA2S_4T,S,0.87,0.31,25-Jun,0,
317,L_RHCA2S_5T,S,0.33,0.42,25-Jun,0,
318,L_RHCA2S_6T,S,0.33,0.31,25-Jun,0,
319,L_RHCA2S_1W,S,0,0,25-Jun,1,water
320,L_RHCA2S_2W,S,0,0,25-Jun,0,
321,L_RHCA2S_3W,S,0,0,25-Jun,0,
322,L_RHCA2S_4W,S,0,0,25-Jun,0,
323,L_RHCA2S_5W,S,0,0,25-Jun,0,
324,L_RHCA2S_6W,S,0,0,25-Jun,0,
325,L_RHCA3S_1T,S,0.2,0,25-Jun,1,water
326,L_RHCA3S_2T,S,0.07,0.12,25-Jun,0,
327,L_RHCA3S_3T,S,0.13,0.12,25-Jun,0,
328,L_RHCA3S_4T,S,0.45,0.19,25-Jun,0,
329,L_RHCA3S_5T,S,0.33,0.23,25-Jun,0,
330,L_RHCA3S_6T,S,0.2,0.2,25-Jun,0,
331,L_RHCA3S_1W,S,0,0,25-Jun,1,water
332,L_RHCA3S_2W,S,0,0,20-Jul,0,
333,L_RHCA3S_3W,S,0,0,20-Jul,0,
334,L_RHCA3S_4W,S,0,0,20-Jul,0,
335,L_RHCA3S_5W,S,0,0,20-Jul,0,
336,L_RHCA3S_6W,S,0,0,20-Jul,0,
337,L_TODI1S_1T,S,1.15,0.41,25-Jun,0,"water, need to recheck TODI. Sporangia maybe brown?"
338,L_TODI1S_2T,S,0.13,0.12,25-Jun,0,
339,L_TODI1S_3T,S,3.6,0.2,25-Jun,0,
340,L_TODI1S_4T,S,1.33,0.76,25-Jun,0,
341,L_TODI1S_5T,S,0.07,0.12,25-Jun,0,
342,L_TODI1S_6T,S,1.6,0.4,25-Jun,0,
343,L_TODI1S_1W,S,0,0,25-Jun,1,water
344,L_TODI1S_2W,S,0,0,20-Jul,0,
345,L_TODI1S_3W,S,0,0,20-Jul,0,
346,L_TODI1S_4W,S,0,0,20-Jul,0,
347,L_TODI1S_5W,S,0,0,20-Jul,0,
348,L_TODI1S_6W,S,0,0,20-Jul,0,
349,L_TODI2S_1T,S,1.25,0.5,25-Jun,1,water
350,L_TODI2S_2T,S,8.93,0.31,25-Jun,0,
351,L_TODI2S_3T,S,2.2,0.2,25-Jun,0,
352,L_TODI2S_4T,S,1.93,0.5,25-Jun,0,
353,L_TODI2S_5T,S,0.53,0.12,25-Jun,0,
354,L_TODI2S_6T,S,0.07,0.12,25-Jun,0,
355,L_TODI2S_1W,S,0,0,25-Jun,1,water
356,L_TODI2S_2W,S,0,0,20-Jul,0,
357,L_TODI2S_3W,S,0,0,20-Jul,0,
358,L_TODI2S_4W,S,0,0,20-Jul,0,
359,L_TODI2S_5W,S,0,0,20-Jul,0,
360,L_TODI2S_6W,S,0,0,20-Jul,0,
361,L_TODI3S_1T,S,0.75,0.38,25-Jun,1,water
362,L_TODI3S_2T,S,0.4,0.35,25-Jun,0,
363,L_TODI3S_3T,S,0.13,0.12,25-Jun,0,
364,L_TODI3S_4T,S,0.67,0.31,25-Jun,0,
365,L_TODI3S_5T,S,0,0,25-Jun,0,
366,L_TODI3S_6T,S,1.93,0.9,25-Jun,0,
367,L_TODI3S_1W,S,0,0,25-Jun,1,water
368,L_TODI3S_2W,S,0,0,20-Jul,0,
369,L_TODI3S_3W,S,0,0,20-Jul,0,
370,L_TODI3S_4W,S,0,0,20-Jul,0,
371,L_TODI3S_5W,S,0,0,20-Jul,0,
372,L_TODI3S_6W,S,0,0,20-Jul,0,
373,L_UMCA1S_1T,S,0.1,0.12,25-Jun,0,Kayla's first samples...water
374,L_UMCA1S_2T,S,0.1,0.2,25-Jun,0,
375,L_UMCA1S_3T,S,0.25,0.1,25-Jun,0,
376,L_UMCA1S_4T,S,1.85,0.9,25-Jun,0,
377,L_UMCA1S_5T,S,2.05,0.53,25-Jun,0,
378,L_UMCA1S_6T,S,1.15,0.1,25-Jun,0,
379,L_UMCA1S_1W,S,0,0,25-Jun,1,water
380,L_UMCA1S_2W,S,0,0,20-Jul,0,
381,L_UMCA1S_3W,S,0,0,20-Jul,0,
382,L_UMCA1S_4W,S,0,0,20-Jul,0,
383,L_UMCA1S_5W,S,0,0,20-Jul,0,
384,L_UMCA1S_6W,S,0,0,20-Jul,0,
385,L_UMCA2S_1T,S,6.6,2.29,25-Jun,0,"water, super goopy"
386,L_UMCA2S_2T,S,3.7,0.66,25-Jun,0,
387,L_UMCA2S_3T,S,5.33,0.46,25-Jun,0,"too goopy, diluted 1:3 numbers are already standardized"
388,L_UMCA2S_4T,S,3.7,0.74,25-Jun,0,
389,L_UMCA2S_5T,S,2.3,2.19,25-Jun,0,
390,L_UMCA2S_6T,S,1.35,0.47,25-Jun,0,
391,L_UMCA2S_1W,S,0,0,25-Jun,1,water
392,L_UMCA2S_2W,S,0,0,25-Jun,0,
393,L_UMCA2S_3W,S,0,0,25-Jun,0,
394,L_UMCA2S_4W,S,0,0,25-Jun,0,
395,L_UMCA2S_5W,S,0,0,25-Jun,0,
396,L_UMCA2S_6W,S,0,0,25-Jun,0,
397,L_UMCA3S_1T,S,0.35,0.19,25-Jun,1,water
398,L_UMCA3S_2T,S,0.4,0.16,25-Jun,0,
399,L_UMCA3S_3T,S,10.83,3.49,25-Jun,0,goopy. counted last 3 in 3 ul
400,L_UMCA3S_4T,S,0.9,0.42,25-Jun,0,
401,L_UMCA3S_5T,S,2.25,0.47,25-Jun,0,
402,L_UMCA3S_6T,S,2.5,0.74,25-Jun,0,
403,L_UMCA3S_1W,S,0,0,25-Jun,1,water
404,L_UMCA3S_2W,S,0,0,25-Jun,0,
405,L_UMCA3S_3W,S,0,0,25-Jun,0,
406,L_UMCA3S_4W,S,0,0,25-Jun,0,
407,L_UMCA3S_5W,S,0,0,25-Jun,0,
408,L_UMCA3S_6W,S,0,0,25-Jun,0,
409,L_VAOV1S_1T,S,0.45,0.19,25-Jun,0,"water, all but 2 empty"
410,L_VAOV1S_2T,S,0.6,0.23,25-Jun,1,water
411,L_VAOV1S_3T,S,0.27,0.23,25-Jun,0,
412,L_VAOV1S_4T,S,0.27,0.12,25-Jun,0,
413,L_VAOV1S_5T,S,0.33,0.42,25-Jun,0,
414,L_VAOV1S_6T,S,0.33,0.31,25-Jun,0,
415,L_VAOV1S_1W,S,0,0,25-Jun,0,"water, darker sporangia-like things present"
416,L_VAOV1S_2W,S,0,0,20-Jul,0,
417,L_VAOV1S_3W,S,0,0,20-Jul,0,
418,L_VAOV1S_4W,S,0,0,20-Jul,0,
419,L_VAOV1S_5W,S,0,0,20-Jul,0,
420,L_VAOV1S_6W,S,0,0,20-Jul,0,
421,L_VAOV2S_1T,S,0.4,0,25-Jun,1,water
422,L_VAOV2S_2T,S,0.1,0.12,25-Jun,1,water
423,L_VAOV2S_3T,S,0.33,0.23,25-Jun,0,
424,L_VAOV2S_4T,S,0,0,25-Jun,0,
425,L_VAOV2S_5T,S,0.2,0.2,25-Jun,0,
426,L_VAOV2S_6T,S,0.13,0.12,25-Jun,0,
427,L_VAOV2S_1W,S,0,0,25-Jun,1,water
428,L_VAOV2S_2W,S,0,0,20-Jul,0,
429,L_VAOV2S_3W,S,0,0,20-Jul,0,
430,L_VAOV2S_4W,S,0,0,20-Jul,0,
431,L_VAOV2S_5W,S,0,0,20-Jul,0,
432,L_VAOV2S_6W,S,0,0,25-Jun,1,water
433,L_VAOV3S_1T,S,0.2,0,25-Jun,0,
434,L_VAOV3S_2T,S,0.15,0.1,25-Jun,1,water
435,L_VAOV3S_3T,S,0.27,0.31,25-Jun,0,
436,L_VAOV3S_4T,S,0.2,0.16,25-Jun,1,water
437,L_VAOV3S_5T,S,0.73,0.12,25-Jun,0,
438,L_VAOV3S_6T,S,0.33,0.23,25-Jun,0,
439,L_VAOV3S_1W,S,0,0,20-Jul,0,
440,L_VAOV3S_2W,S,0,0,25-Jun,1,water
441,L_VAOV3S_3W,S,0,0,25-Jun,1,water
442,L_VAOV3S_4W,S,0,0,20-Jul,0,
443,L_VAOV3S_5W,S,0,0,20-Jul,0,
444,L_VAOV3S_6W,S,0,0,20-Jul,0,
445,D_SESE1S_1T,S,0.15,0.1,26-Jun,0,"water, at least one live looking sporangia, but mostly empty"
446,D_SESE1S_2T,S,0.07,0.12,26-Jun,0,
